country,name,population,gdp_usd,population_year,gdp_year,income_group
ABW,Aruba,108785,4167588070,2025,2024,High income
AFG,Afghanistan,43844111,17778508876,2025,2024,Low income
AGO,Angola,39040039,122174889424,2025,2025,Lower middle income
ALB,Albania,2349580,30540188271,2025,2025,Upper middle income
AND,Andorra,82904,4500982732,2025,2025,High income
ARE,United Arab Emirates,11513149,552324919096,2025,2024,High income
ARG,Argentina,45851378,683097891619,2025,2025,Upper middle income
ARM,Armenia,3086700,29243452882,2025,2025,Upper middle income
ASM,American Samoa,46029,871000000,2025,2022,High income
ATG,Antigua and Barbuda,94209,2338196296,2025,2025,High income
AUS,Australia,27614411,1798518933689,2025,2025,High income
AUT,Austria,9208163,579470021095,2025,2025,High income
AZE,Azerbaijan,10246996,75937647059,2025,2025,Upper middle income
BDI,Burundi,14390003,3364713864,2025,2025,Low income
BEL,Belgium,11941781,725466462860,2025,2025,High income
BEN,Benin,14814460,24566420904,2025,2025,Lower middle income
BFA,Burkina Faso,24074580,27627297461,2025,2025,Low income
BGD,Bangladesh,175686899,456319229256,2025,2025,Lower middle income
BGR,Bulgaria,6433302,130777235530,2025,2025,High income
BHR,Bahrain,1600366,48965725532,2025,2025,High income
BHS,"Bahamas, The",403033,15832800000,2025,2024,High income
BIH,Bosnia and Herzegovina,3140095,32599982936,2025,2025,Upper middle income
BLR,Belarus,9085991,93397215864,2025,2025,Upper middle income
BLZ,Belize,422924,3326500000,2025,2025,Upper middle income
BMU,Bermuda,64555,9194499000,2025,2024,High income
BOL,Bolivia,12581843,64768947525,2025,2025,Lower middle income
BRA,Brazil,212812405,2279920092492,2025,2025,Upper middle income
BRB,Barbados,282623,8016550000,2025,2025,High income
BRN,Brunei Darussalam,466330,15031980994,2025,2025,High income
BTN,Bhutan,796682,3579320145,2025,2025,Lower middle income
BWA,Botswana,2562122,19928479839,2025,2025,Upper middle income
CAF,Central African Republic,5513282,3066109226,2025,2025,Low income
CAN,Canada,41651653,2319899772426,2025,2025,High income
CHE,Switzerland,9092436,1043529899251,2025,2025,High income
CHI,Channel Islands,168466,12507320838,2025,2023,High income
CHL,Chile,19859921,357371159575,2025,2025,High income
CHN,China,1406585000,19498039388043,2025,2025,Upper middle income
CIV,Cote d'Ivoire,32711547,99773555666,2025,2025,Lower middle income
CMR,Cameroon,29879337,58933453924,2025,2025,Lower middle income
COD,"Congo, Dem. Rep.",112832473,91030531317,2025,2025,Low income
