iso3,gdp_ppp_intl,year
ABW,5584653978,2024
AFG,95368282081,2024
AGO,377479074146,2024
ALB,63473513072,2024
AND,6177703888,2024
ARE,871702497011,2024
ARG,1392608159721,2024
ARM,69334662221,2024
ATG,3127445340,2024
AUS,1961194326932,2024
AUT,695456204580,2024
AZE,256564024817,2024
BDI,16759504374,2024
BEL,880200003408,2024
BEN,64229021428,2024
BFA,68316006083,2024
BGD,1676747750351,2024
BGR,270343833634,2024
BHR,106806443006,2024
BHS,16556039744,2024
BIH,79574675070,2024
BLR,302896269296,2024
BLZ,5992221037,2024
BMU,7674101282,2024
BOL,160086293712,2024
BRA,4742602740468,2024
BRB,6931634372,2024
BRN,41649466889,2024
BTN,14059370168,2024
BWA,51966923543,2024
CAF,6742985508,2024
CAN,2701978839989,2024
CHE,877753767388,2024
CHL,712932938840,2024
CHN,38238902604244,2024
CIV,245266695941,2024
CMR,163008601219,2024
COD,199240906232,2024
COG,44353919938,2024
COL,1186738261094,2024
COM,3508069102,2024
CPV,5870602665,2024
CRI,161859684592,2024
CUW,5106480248,2024
CYM,6865016287,2024
CYP,61312827973,2024
CZE,628403287254,2024
DEU,6176636770149,2024
DJI,9141300983,2024
DMA,1412259860,2024
DNK,483764583913,2024
DOM,315190999326,2024
DZA,826100849354,2024
ECU,287417221449,2024
EGY,2228429994810,2024
ESP,2836346104923,2024
EST,69160179532,2024
ETH,434781603500,2024
FIN,366065163905,2024
FJI,14370830975,2024
FRA,4286160804064,2024
FRO,4485358437,2024
FSM,503824526,2024
GAB,54692609213,2024
GBR,4353581177831,2024
GEO,104794210321,2024
GHA,277181782543,2024
GIN,67457857041,2024
GMB,9606579861,2024
GNB,6809806101,2024
GNQ,32309841979,2024
GRC,459604712611,2024
GRD,2332792591,2024
GTM,264923697500,2024
GUY,66712538148,2024
HKG,566878474086,2024
HND,81220583994,2024
HRV,191573331318,2024
HTI,37305809632,2024
HUN,464144179175,2024
IDN,4669750008876,2024
IND,15551990799136,2024
IRL,759615017803,2024
IRN,1822449658110,2024
IRQ,666933546038,2024
ISL,32296993856,2024
ISR,572904642517,2024
ITA,3672334968239,2024
JAM,36650871023,2024
JOR,137668256266,2024
JPN,6714043512608,2024
KAZ,843272304926,2024
KEN,375260973446,2024
KGZ,59277315112,2024
KHM,140784234185,2024
KIR,501488445,2024
KNA,1634690030,2024
KOR,3159472343387,2024
KWT,260139566256,2024
LAO,76066725260,2024
LBN,69192263556,2024
LBR,10517079483,2024
LBY,105730068246,2024
LCA,5053820309,2024
LKA,344105104200,2024
LSO,7177748753,2024
LTU,160875274927,2024
LUX,105667605468,2024
LVA,81873163246,2024
MAC,87348132821,2024
MAR,403355259929,2024
MDA,44831019342,2024
MDG,60371062674,2024
MDV,13839316145,2024
MEX,3378877367983,2024
MHL,309318884,2024
MKD,49249522332,2024
MLI,81307517201,2024
MLT,39855071468,2024
MMR,327337091988,2024
MNE,21239022451,2024
MNG,67579102218,2024
MOZ,59161570417,2024
MRT,38147313768,2024
MUS,39487130722,2024
MWI,40285660851,2024
MYS,1380903612305,2024
NAM,35446230511,2024
NER,55255576051,2024
NGA,2117352870850,2024
NIC,60314752543,2024
NLD,1533375443144,2024
NOR,588750471306,2024
NPL,170364437630,2024
NRU,162623004,2024
NZL,295150254933,2024
OMN,220772429846,2024
PAK,1573745745234,2024
PAN,187078139096,2024
PER,611879061140,2024
PHL,1368554635188,2024
PLW,372641389,2024
PNG,51682414096,2024
POL,1874118068302,2024
PRI,161192440886,2024
PRT,561605132240,2024
PRY,129101509260,2024
PSE,25232673502,2024
QAT,362122007020,2024
ROU,934999930676,2024
RUS,6968620322318,2024
RWA,53960577882,2024
SAU,2539369804792,2024
SDN,106895751229,2024
SEN,94309111915,2024
SGP,924612573515,2024
SLB,2194730588,2024
SLE,30484051985,2024
SLV,84032906865,2024
SOM,30496212963,2024
SRB,216248987969,2024
STP,1477834694,2024
SUR,13851016241,2024
SVK,259427658332,2024
SVN,122475674026,2024
SWE,752795158345,2024
SWZ,14693836415,2024
SXM,2334256364,2024
SYC,4045880711,2024
TCA,1768772452,2024
TCD,56167294745,2024
TGO,32069634435,2024
THA,1785194726242,2024
TJK,57337489950,2024
TKM,157578118693,2024
TLS,6203708383,2024
TON,851562745,2024
TTO,49781695168,2024
TUN,178534905334,2024
TUR,3858852700980,2024
TUV,61404180,2024
TZA,280833174205,2024
UGA,163950515170,2024
UKR,659616920504,2024
URY,123938232025,2024
USA,29298013000000,2024
UZB,455193470297,2024
VCT,2143419934,2024
VNM,1654976987628,2024
VUT,1431672587,2024
WSM,1907802601,2024
ZAF,990744568514,2024
ZMB,89970727066,2024
ZWE,98689576199,2024
