scenario,gtap_region,resolution,disbursement,gdp_2030,gdp_2040,gdp_2050
21,Albania,individual,none,-0.054,-0.153,-0.160
21,Algeria,individual,none,-0.119,-0.295,-0.351
21,Argentina,individual,none,-0.038,-0.097,-0.114
21,Armenia,individual,none,-0.040,-0.100,-0.126
21,Australia,individual,none,-0.093,-0.242,-0.292
21,Bahrain,individual,none,-0.109,-0.318,-0.365
21,Bangladesh,individual,none,-0.083,-0.268,-0.301
21,Belgium,individual,none,-0.067,-0.171,-0.198
21,Bolivia (Plurinational State of),individual,none,-0.018,-0.049,-0.056
21,Botswana,individual,none,-0.019,-0.050,-0.050
21,Brazil,individual,none,-0.052,-0.120,-0.139
21,Brunei Darussalam,individual,none,-0.067,-0.229,-0.249
21,Bulgaria,individual,none,-0.097,-0.241,-0.284
21,Cameroon,individual,none,-0.075,-0.205,-0.229
21,Canada,individual,none,-0.036,-0.098,-0.117
21,Chile,individual,none,-0.179,-0.428,-0.499
21,China,individual,none,-0.055,-0.151,-0.179
21,Colombia,individual,none,-0.092,-0.224,-0.251
21,Costa Rica,individual,none,-0.163,-0.392,-0.424
21,Croatia,individual,none,-0.028,-0.080,-0.089
21,Cyprus,individual,none,-0.073,-0.202,-0.226
21,Côte d'Ivoire,individual,none,-0.102,-0.284,-0.316
21,Denmark,individual,none,-0.030,-0.083,-0.095
21,Dominican Republic,individual,none,-0.088,-0.246,-0.269
21,Ecuador,individual,none,-0.126,-0.291,-0.317
21,Egypt,individual,none,-0.110,-0.342,-0.408
21,El Salvador,individual,none,-0.112,-0.284,-0.307
21,Equatorial Guinea,individual,none,0.002,0.008,0.023
21,Estonia,individual,none,-0.051,-0.129,-0.150
21,Eswatini,individual,none,-0.021,-0.051,-0.054
21,Finland,individual,none,-0.048,-0.124,-0.146
21,France,individual,none,-0.017,-0.044,-0.050
21,Gabon,individual,none,-0.127,-0.333,-0.406
21,Georgia,individual,none,-0.066,-0.186,-0.216
21,Germany,individual,none,-0.026,-0.069,-0.081
21,Ghana,individual,none,-0.094,-0.265,-0.304
21,Greece,individual,none,-0.047,-0.118,-0.135
21,Guatemala,individual,none,-0.138,-0.314,-0.341
21,Honduras,individual,none,-0.189,-0.475,-0.518
21,India,individual,none,-0.044,-0.127,-0.151
21,Indonesia,individual,none,-0.081,-0.227,-0.285
21,Iran (Islamic Republic of),individual,none,-0.024,-0.083,-0.094
21,Iraq,individual,none,-0.047,-0.148,-0.173
21,Ireland,individual,none,-0.027,-0.078,-0.087
21,Israel,individual,none,-0.053,-0.147,-0.166
21,Italy,individual,none,-0.029,-0.079,-0.088
21,Japan,individual,none,-0.042,-0.114,-0.135
21,Jordan,individual,none,-0.025,-0.071,-0.083
21,Kenya,individual,none,-0.185,-0.449,-0.494
21,Kuwait,individual,none,-0.048,-0.156,-0.170
21,Latvia,individual,none,-0.059,-0.147,-0.172
21,Lithuania,individual,none,-0.057,-0.144,-0.160
21,Madagascar,individual,none,-0.136,-0.372,-0.415
21,Malaysia,individual,none,-0.104,-0.310,-0.363
21,Malta,individual,none,-0.191,-0.580,-0.629
21,Mauritius,individual,none,-0.100,-0.240,-0.260
21,Mexico,individual,none,-0.033,-0.096,-0.117
21,Morocco,individual,none,-0.105,-0.283,-0.325
21,Namibia,individual,none,-0.028,-0.066,-0.069
21,Netherlands (Kingdom of the),individual,none,-0.033,-0.087,-0.100
21,New Zealand,individual,none,-0.114,-0.284,-0.312
21,Nicaragua,individual,none,-0.165,-0.413,-0.448
