iso3,container_teu,year
ABW,64800,2024
AGO,709221,2024
ALB,184017,2023
ARE,23466906,2024
ARG,1471434,2024
ASM,76200,2019
ATG,28000,2024
AUS,9579396,2024
BEL,12395047,2024
BEN,510896,2019
BGD,3353732,2024
BGR,296350,2024
BHR,409382,2024
BHS,1540740,2024
BLZ,21279,2023
BMU,4006,2019
BRA,13893906,2024
BRB,101300,2023
BRN,99000,2023
CAN,6394038,2024
CHE,114075,2020
CHL,4474125,2024
CHN,299703800,2024
CIV,1802000,2024
CMR,350000,2024
COD,42211,2019
COG,1046064,2024
COL,5188127,2024
COM,54359,2019
CPV,89382,2024
CRI,1717439,2024
CUB,281140,2023
CUW,98100,2024
CYM,46658,2024
CYP,386498,2024
DEU,13294081,2024
DJI,1293000,2024
DMA,7401,2020
DNK,935848,2024
DOM,2110608,2024
DZA,1827788,2024
ECU,2567040,2024
EGY,8581339,2024
ERI,27453,2019
ESP,18114517,2024
EST,261822,2024
FIN,1317452,2024
FJI,145782,2019
FRA,5371045,2024
FRO,31214,2019
FSM,25234,2019
GAB,180878,2024
GBR,9621469,2024
GEO,636497,2024
GHA,1701246,2024
GIB,10870,2019
GIN,286286,2023
GMB,71470,2019
GNB,28700,2019
GNQ,13851,2019
GRC,5691448,2024
GRD,20299,2022
GRL,6145,2019
GTM,2010490,2024
GUM,190200,2019
GUY,58377,2021
HKG,13690000,2024
HND,905497,2024
HRV,532451,2024
HTI,201514,2024
IDN,14709550,2024
IND,23898000,2024
IRL,1209552,2024
IRN,2921359,2024
IRQ,932729,2019
ISL,425000,2023
ISR,3059136,2024
ITA,11927016,2024
JAM,2349405,2024
JOR,824199,2024
JPN,21886683,2024
KEN,2005076,2024
KHM,1030000,2024
KIR,52100,2019
KNA,13560,2020
KOR,31850924,2024
KWT,863618,2020
LBN,762062,2024
LBR,91454,2019
LBY,465168,2023
LCA,37054,2023
LKA,7782776,2024
LTU,1068771,2024
LVA,490971,2024
MAR,11789130,2024
MDA,818,2019
MDG,199712,2019
MDV,107728,2019
MEX,9284170,2024
MHL,30711,2019
MLT,2967924,2024
MMR,782951,2024
MNE,17263,2024
MNP,44952,2019
MOZ,489000,2023
MRT,84458,2019
MUS,468254,2024
MYS,30659850,2024
NAM,171151,2024
NCL,107834,2021
NGA,1566109,2023
NIC,167682,2024
NLD,14517179,2024
NOR,862983,2024
NRU,5327,2019
NZL,3371175,2024
OMN,4246786,2024
PAK,3338000,2024
PAN,9570767,2024
PER,3477011,2024
PHL,9216842,2024
PLW,16399,2019
PNG,200000,2022
POL,3270784,2024
PRI,1300000,2024
PRT,3541777,2024
PRY,37901,2020
PYF,84772,2022
QAT,1421000,2024
ROU,989795,2024
RUS,5187096,2024
SAU,8029571,2024
SDN,320274,2021
SEN,881239,2024
SGP,41124100,2024
SLB,128036,2019
SLE,78413,2019
SLV,255017,2024
SOM,92238,2019
STP,49553,2019
SUR,105949,2024
SVN,1133340,2024
SWE,1640487,2024
SXM,105200,2019
SYC,154423,2019
SYR,243348,2020
TGO,2006435,2024
THA,11432626,2024
TLS,53289,2019
TON,76854,2019
TTO,545177,2023
TUN,491955,2024
TUR,13507070,2024
TUV,5150,2019
TZA,985000,2024
UKR,1022376,2021
URY,1115000,2024
USA,59707490,2024
VCT,24416,2024
VEN,221801,2021
VGB,45956,2019
VNM,24423183,2024
VUT,77436,2019
WSM,53017,2024
YEM,380000,2024
ZAF,4303682,2024
