iso3,name,income_group,resolved,sids,ldc,co2_t,container_teu,log_residual
PRY,Paraguay,Upper middle income,True,False,False,3110,37901,-4.2468
MDA,Moldova,Upper middle income,False,False,False,143,818,-3.7114
SYR,Syrian Arab Republic,Low income,True,False,False,166188,243348,-2.0196
STP,Sao Tome and Principe,Lower middle income,False,True,True,48205,49553,-1.7583
KHM,Cambodia,Lower middle income,False,False,True,1012396,1030000,-1.5715
GEO,Georgia,Upper middle income,True,False,False,686242,636497,-1.5070
ALB,Albania,Upper middle income,True,False,False,282463,184017,-1.2259
VNM,Viet Nam,Upper middle income,True,False,False,32883893,24423183,-1.0727
SVN,Slovenia,High income,True,False,False,1824853,1133340,-1.0724
IRN,"Iran, Islamic Rep.",Upper middle income,True,False,False,4465751,2921359,-1.0693
POL,Poland,High income,True,False,False,5174388,3270784,-1.0284
ROU,Romania,High income,True,False,False,1734836,989795,-0.9954
YEM,"Yemen, Rep.",Low income,False,False,True,736869,380000,-0.9500
TON,Tonga,Upper middle income,False,True,False,175499,76854,-0.8795
LTU,Lithuania,High income,True,False,False,2131363,1068771,-0.8619
PAN,Panama,High income,True,False,False,17243307,9570767,-0.8359
ISR,Israel,High income,True,False,False,5989393,3059136,-0.8191
DEU,Germany,High income,True,False,False,23968413,13294081,-0.8161
LBN,Lebanon,Lower middle income,False,False,False,1638742,762062,-0.8062
TLS,Timor-Leste,Lower middle income,False,True,True,136624,53289,-0.7850
UKR,Ukraine,Upper middle income,True,False,False,2217466,1022376,-0.7805
MAR,Morocco,Lower middle income,True,False,False,22212287,11789130,-0.7791
CHN,China,Upper middle income,True,False,False,469793302,299703800,-0.7748
VCT,St. Vincent and the Grenadines,Upper middle income,False,True,False,68391,24416,-0.7419
MMR,Myanmar,Lower middle income,False,False,True,1794786,782951,-0.7407
HND,Honduras,Lower middle income,True,False,False,2168060,905497,-0.6887
IRL,Ireland,High income,True,False,False,2924877,1209552,-0.6619
KEN,Kenya,Lower middle income,True,False,False,4886634,2005076,-0.6247
SGP,Singapore,High income,True,True,False,84196546,41124100,-0.6233
BGR,Bulgaria,High income,True,False,False,811642,296350,-0.6192
PHL,Philippines,Upper middle income,True,False,False,21627899,9216842,-0.5739
HRV,Croatia,High income,True,False,False,1485989,532451,-0.5663
SUR,Suriname,Upper middle income,False,True,False,335210,105949,-0.5348
TUN,Tunisia,Lower middle income,True,False,False,1492337,491955,-0.4876
WSM,Samoa,Upper middle income,False,True,False,185221,53017,-0.4759
PAK,Pakistan,Lower middle income,True,False,False,9193947,3338000,-0.4727
GNB,Guinea-Bissau,Low income,False,True,True,104400,28700,-0.4712
JOR,Jordan,Upper middle income,True,False,False,2485742,824199,-0.4633
BEN,Benin,Lower middle income,False,False,True,1587386,510896,-0.4614
THA,Thailand,Upper middle income,True,False,False,30310492,11432626,-0.4393
DJI,Djibouti,Lower middle income,False,False,True,3905411,1293000,-0.4357
CRI,Costa Rica,High income,True,False,False,5108193,1717439,-0.4345
ITA,Italy,High income,True,False,False,31731994,11927016,-0.4333
GTM,Guatemala,Upper middle income,True,False,False,5963005,2010490,-0.4282
FIN,Finland,High income,True,False,False,4041771,1317452,-0.4190
HTI,Haiti,Lower middle income,False,True,True,689869,201514,-0.4185
LVA,Latvia,High income,True,False,False,1601325,490971,-0.4152
SYC,Seychelles,High income,False,True,False,539495,154423,-0.4137
JAM,Jamaica,Upper middle income,False,True,False,7076431,2349405,-0.4037
ISL,Iceland,High income,False,False,False,1446025,425000,-0.3813
BEL,Belgium,High income,True,False,False,35581378,12395047,-0.3551
KIR,Kiribati,Lower middle income,False,True,True,206276,52100,-0.3518
GRC,Greece,High income,True,False,False,17291584,5691448,-0.3436
GRD,Grenada,Upper middle income,False,True,False,85624,20299,-0.3433
SDN,Sudan,Low income,False,False,True,1192075,320274,-0.3080
CIV,Cote d'Ivoire,Lower middle income,True,False,False,6190108,1802000,-0.2877
TUR,Turkiye,Upper middle income,True,False,False,42501025,13507070,-0.2583
ERI,Eritrea,Low income,False,False,True,124403,27453,-0.2541
LKA,Sri Lanka,Upper middle income,True,False,False,25505810,7782776,-0.2497
TZA,Tanzania,Lower middle income,True,False,True,3649308,985000,-0.2472
BGD,Bangladesh,Lower middle income,True,False,True,11725421,3353732,-0.2340
ECU,Ecuador,Upper middle income,True,False,False,9160289,2567040,-0.2291
BRB,Barbados,High income,False,True,False,439940,101300,-0.2206
NLD,Netherlands,High income,True,False,False,47728612,14517179,-0.2102
KNA,St. Kitts and Nevis,High income,False,True,False,67818,13560,-0.1964
NRU,Naoero,High income,False,True,False,29356,5327,-0.1538
GMB,"Gambia, The",Low income,False,False,True,338806,71470,-0.1533
NIC,Nicaragua,Lower middle income,True,False,False,767620,167682,-0.1386
TGO,Togo,Lower middle income,False,False,True,7961562,2006435,-0.1372
DZA,Algeria,Upper middle income,True,False,False,7303253,1827788,-0.1357
VUT,Vanuatu,Lower middle income,False,True,False,375677,77436,-0.1255
CYP,Cyprus,High income,True,False,False,1714529,386498,-0.1215
SLV,El Salvador,Upper middle income,True,False,False,1160413,255017,-0.1203
TUV,Tuvalu,Upper middle income,False,True,True,29428,5150,-0.1195
CUB,Cuba,Upper middle income,False,True,False,1308742,281140,-0.0918
