end_anchorage_flag,visits,at_dock
CHN,1210760,0.02136591892695497
USA,474358,0.4788977944927671
JPN,374203,0.09700082575500464
IDN,328128,0.1403446216110786
MYS,310460,0.04930103717065
KOR,289142,0.2498288038403276
IND,240534,0.23038738806156303
TUR,210702,0.23566933394082637
ESP,203572,0.13783820957695558
AUS,199916,0.29949578823105705
BRA,197464,0.12220455374144147
ARE,197017,0.2919240471634427
RUS,193054,0.3521916147813565
DEU,164622,0.4452138839280291
PAN,153786,0.22991039496443108
EGY,152179,0.4321621248661116
TWN,143256,0.023042664879656
NLD,142797,0.15776241797796872
VNM,125203,0.4657795739718697
GBR,123247,0.3053380609670012
SGP,122445,0.10011025358324145
ITA,121634,0.23305983524343524
CAN,115716,0.6215994330948184
BEL,110871,0.5631680060610981
THA,89515,0.19384460704909792
MEX,82976,0.31527188584650984
FRA,77388,0.45319687806895126
SAU,76799,0.20944283128686572
PHL,76022,0.2734208518586725
ARG,68583,0.5910940028870129
ZAF,58442,0.40927757434721607
SWE,54275,0.5086872409028098
NOR,50812,0.8980358970321971
GRC,49110,0.3461209529627367
MAR,43411,0.28059708368846603
COL,42871,0.1377854493713699
CHL,41011,0.07814976469727634
QAT,38224,0.04026266220175806
PRT,36609,0.45871233849599824
NGA,36336,0.2015907089387935
PER,34545,0.050253292806484294
MLT,33934,0.06291624918960335
DNK,33867,0.19644491688073937
NZL,33253,0.5492737497368658
FIN,31925,0.7904463586530932
OMN,28830,0.02539021852237253
BGD,28719,0.1363557226922943
DZA,27768,0.41295736099106883
URY,26681,0.14396012143472883
LKA,24930,0.10160449257922183
PAK,23961,0.6580276282292058
IRQ,22016,0.38113190406976744
POL,21639,0.19224548269328529
ECU,20811,0.15679208111095094
KWT,20270,0.1986186482486433
MOZ,18784,0.260807069846678
GIB,18764,0.0017586868471541248
UKR,18612,0.1794541156243284
ISR,17884,0.062402147170655335
IRN,17667,0.3038999264164827
GTM,17403,0.2514508992702408
DOM,17201,0.411894657287367
IRL,17062,0.33776813972570624
TGO,16324,0.01464101935800049
ROU,16280,0.7390663390663391
JAM,14014,0.21071785357499642
TTO,13904,0.016829689298043727
GIN,13617,0.0188000293750459
CMR,12834,0.027505064671965094
PNG,12665,0.30161863403079353
LBY,12594,0.16484040019056695
VEN,12409,0.11475541945362237
AGO,12165,0.22227702424989726
CIV,12050,0.03020746887966805
EST,11256,0.2716773276474769
CRI,10674,0.0837549184935357
LTU,10669,0.7597713000281189
HND,10375,0.27325301204819274
MUS,10195,0.011574301128003924
GHA,10180,0.01355599214145383
BHS,10093,0.5331417814326761
LVA,9784,0.29170073589533935
DJI,8543,0.0007023293924850755
LBN,8540,0.13442622950819672
BGR,8267,0.007983549050441515
TUN,8255,0.2125984251968504
SEN,8015,0.0069868995633187774
MMR,7456,0.8670869098712446
BHR,7229,0.012173191312768018
JOR,7151,0.9965039854565795
