country,uncalibrated_co2_t,calibrated_co2_t,uncalibrated_rank,calibrated_rank
CHN,376363023.1200214,469793301.5727176,1.0,1.0
MYS,254599432.22782928,314397808.0275984,2.0,2.0
USA,244170512.37709787,310398634.1333371,3.0,3.0
AUS,136852245.18115428,174342622.02548757,4.0,4.0
BRA,134731658.83083823,163824255.20974597,5.0,5.0
JPN,116938612.91117327,160227508.52118436,6.0,6.0
KOR,110910526.23647635,143020451.0766674,7.0,7.0
IND,82672938.45409027,103954484.00778043,8.0,8.0
ARE,75417558.4777241,90421276.3744012,9.0,10.0
ESP,71023688.60519837,92012114.35617322,10.0,9.0
SGP,69350687.59900613,84196546.39339906,11.0,11.0
EGY,66458096.57754919,83709247.46722054,12.0,12.0
IDN,52830490.35875072,69075219.83053337,13.0,13.0
SAU,43330278.135397404,50395672.87523577,14.0,15.0
TWN,41190078.49727,57890141.01115647,15.0,14.0
CAN,38827540.89801568,48462420.21220962,16.0,16.0
NLD,38716780.53936377,47728612.42944683,17.0,18.0
ZAF,38530833.084927425,47938026.36149054,18.0,17.0
RUS,35077476.628615126,45125152.470451206,19.0,19.0
MEX,34177571.504541576,43696788.37173305,20.0,20.0
TUR,32240004.203994635,42501024.94606889,21.0,22.0
GBR,28403380.670422614,37022860.51862929,22.0,23.0
BEL,27405215.296537258,35581377.7615579,23.0,24.0
VNM,23913082.083425622,32883893.13650621,24.0,25.0
ITA,23393051.210575376,31731994.250185806,25.0,26.0
COL,23254305.5762055,29407126.90241526,26.0,28.0
THA,21864757.938046392,30310491.82685952,27.0,27.0
FRA,21829481.526269056,28070395.070826393,28.0,29.0
QAT,21267329.5988228,42802838.316920966,29.0,21.0
LKA,20038158.302098863,25505809.845433693,30.0,30.0
CHL,20002176.292865142,25241710.86358518,31.0,31.0
ARG,19427665.37140229,23595403.76626554,32.0,33.0
DEU,18377971.302247413,23968412.97680997,33.0,32.0
MAR,18032918.41532587,22212286.91031387,34.0,35.0
NGA,17283290.615217995,22695350.052675802,35.0,34.0
PER,16463324.542792905,20956291.551095717,36.0,38.0
PHL,16447654.227814531,21627898.845496196,37.0,37.0
OMN,16159048.462179482,22028995.096242957,38.0,36.0
GIB,15572110.840456925,19333641.123431,39.0,39.0
NZL,14145464.435090533,18198025.0549134,40.0,40.0
GRC,13732642.730423227,17291584.432260364,41.0,41.0
PAN,13702205.582143733,17243306.755918592,42.0,42.0
MUS,11855768.920202918,14631076.415975748,43.0,43.0
MLT,11005148.994612917,14324347.398898918,44.0,44.0
PRT,10948100.17609239,14313342.979589054,45.0,45.0
IRQ,10166007.020456139,10874562.224823106,46.0,47.0
AGO,9626378.39477013,10871833.048161102,47.0,48.0
KWT,9298232.802878981,10654150.00560971,48.0,49.0
GIN,8821102.775771173,10542529.380480705,49.0,50.0
BGD,8476312.947805189,11725421.38067978,50.0,46.0
DNK,7356516.377911844,9680174.565373736,51.0,52.0
DOM,7347973.266259041,9544121.086480627,52.0,53.0
ECU,7104354.933861132,9160289.39811162,53.0,55.0
PAK,6911621.017261827,9193947.48205556,54.0,54.0
TTO,6786034.976789375,9686905.975292752,55.0,51.0
SWE,6314623.099653868,8445507.824021958,56.0,56.0
TGO,6306179.77468655,7961561.777434895,57.0,58.0
NOR,6288278.952705594,8285762.194466319,58.0,57.0
GHA,6071390.195456332,7446142.440055029,59.0,59.0
MOZ,5913861.334164724,7423365.123729458,60.0,60.0
BHS,5711131.75950303,7286019.936955573,61.0,62.0
JAM,5160279.359494802,7076431.42960145,62.0,63.0
DZA,5142363.512847856,7303252.964430986,63.0,61.0
CIV,4947185.466675478,6190108.394294592,64.0,64.0
URY,4829047.020523503,5892064.435968472,65.0,67.0
ISR,4502545.870005766,5989393.259949392,66.0,65.0
COG,4422375.034660032,5125842.743875754,67.0,70.0
GTM,4341397.204964026,5963005.250556031,68.0,66.0
PNG,4234787.353546698,5821255.533405084,69.0,68.0
POL,3915346.154128963,5174387.856661476,70.0,69.0
CRI,3776063.51993426,5108192.637404872,71.0,71.0
VEN,3755900.6285178107,4593711.790962438,72.0,74.0
KEN,3702774.151044858,4886633.990542782,73.0,72.0
CMR,3687089.112228983,4470242.2698333915,74.0,75.0
NAM,3640300.926276381,4682872.782810079,75.0,73.0
IRN,3578870.322424655,4465751.436753401,76.0,76.0
SEN,3279348.5285607427,4242959.90372412,77.0,77.0
DJI,3033410.168579356,3905410.6199954925,78.0,79.0
FIN,2868532.1273517897,4041770.6691496484,79.0,78.0
TZA,2702745.538059945,3649307.9274131805,80.0,80.0
GNQ,2643398.3109035795,3483902.8876432525,81.0,82.0
PRI,2285079.7330314205,3162819.257160171,82.0,83.0
GAB,2279248.893980263,2674525.063464685,83.0,86.0
COD,2197463.3891758085,2217375.2878484884,84.0,91.0
IRL,2099682.6178044477,2924876.623190487,85.0,84.0
LBY,2092188.141867139,2869972.353580483,86.0,85.0
BRN,2002409.7493803506,3539442.008185175,87.0,81.0
JOR,1868745.4509700357,2485741.729896513,88.0,87.0
UKR,1836368.3430487337,2217465.7304186695,89.0,90.0
REU,1812625.4289352912,2372340.7231468973,90.0,88.0
BHR,1803330.2255503796,2239886.725141011,91.0,89.0
LTU,1616054.0188130946,2131363.3791567194,92.0,93.0
NCL,1590207.7173506368,2116443.9169472544,93.0,94.0
HND,1555988.2495099641,2168059.9695125245,94.0,92.0
EST,1457891.052238555,1904677.9074381941,95.0,95.0
MRT,1393446.8897462275,1772579.9264939225,96.0,98.0
ROU,1352357.4471469054,1734836.313360638,97.0,99.0
SVN,1348267.6215646907,1824852.759810028,98.0,96.0
CYP,1233271.037505964,1714529.107671142,99.0,100.0
BES,1231213.5398194992,1512711.6285163115,100.0,104.0
LVA,1223633.6242312032,1601325.2305206463,101.0,102.0
BEN,1220073.716081637,1587385.9705674334,102.0,103.0
LBN,1215329.1635493094,1638741.9118284287,103.0,101.0
MMR,1214410.3707833951,1794785.601554401,104.0,97.0
SLE,1186473.4900905755,1461691.3523021836,105.0,107.0
HRV,1131640.669106005,1485988.791689375,106.0,106.0
TUN,1107065.580484101,1492337.3571275596,107.0,105.0
ISL,1016106.4037916887,1446025.0324392107,108.0,108.0
CUB,970031.5487670322,1308741.9687495043,109.0,109.0
MDG,946047.0456332876,1255407.7008684156,110.0,110.0
SDN,908886.073584375,1192074.5477899015,111.0,114.0
SLV,898528.6329979151,1160412.7180591363,112.0,115.0
VIR,894145.9146534357,1213108.7857614527,113.0,112.0
PYF,883972.0987633204,1252600.9164713607,114.0,111.0
GLP,873426.857136386,1152128.7992845075,115.0,116.0
FJI,835390.4719459116,1200502.2418946752,116.0,113.0
CPV,794467.5227724093,1000836.4290899502,117.0,119.0
GUM,726187.1560239552,1049799.5998030326,118.0,117.0
LBR,695337.8613611152,872770.9970597903,119.0,120.0
KHM,666994.4773696078,1012395.9081519558,120.0,118.0
BGR,615846.5025762387,811641.834510909,121.0,121.0
ABW,580290.3051759388,739261.6596676491,122.0,124.0
MDV,572806.9430904071,754929.6776201096,123.0,123.0
NIC,567793.4135715652,767619.9766942668,124.0,122.0
YEM,558631.6964565193,736869.277721837,125.0,125.0
HTI,505398.5187988889,689868.8942197174,126.0,126.0
SLB,494969.64280326676,655474.696405439,127.0,129.0
MTQ,487876.55321346223,636756.4716570611,128.0,130.0
GEO,476091.9816070158,686241.8754404864,129.0,128.0
SOM,474802.47274571913,687670.2214617128,130.0,127.0
CUW,468093.96149698715,620514.5757929601,131.0,132.0
GUY,466864.35420423857,625903.3447871906,132.0,131.0
