country,baseline_co2_t,alt_co2_t,baseline_rank,alt_rank
ABW,589233.058807832,739261.6596676491,122.0,124.0
AGO,5526649.509334748,10871833.048161102,55.0,48.0
AIA,281.64508854318177,379.85844877787025,190.0,190.0
ALA,2.77128544579462,2.77128544579462,195.0,195.0
ALB,197999.91169697692,282462.9763869615,146.0,145.0
ARE,51152703.32097015,90421276.3744012,11.0,10.0
ARG,16860019.44709917,23595403.76626554,33.0,33.0
ASM,250244.25197097004,282101.5587360376,143.0,146.0
ATA,19839.60962816125,26415.707502970832,180.0,179.0
ATG,162092.59054744986,184884.9241984181,149.0,150.0
AUS,137511733.90157878,174342622.02548757,4.0,4.0
AZE,34208.99268890095,44966.54361043504,174.0,176.0
BEL,20983518.192861967,35581377.7615579,25.0,24.0
BEN,882844.2517674961,1587385.9705674334,112.0,103.0
BES,1185293.2647432904,1512711.6285163115,98.0,104.0
BGD,7687476.558853334,11725421.38067978,46.0,46.0
BGR,557640.8049614191,811641.834510909,125.0,121.0
BHR,1254359.0041929833,2239886.725141011,94.0,89.0
BHS,5816284.171457617,7286019.936955573,52.0,62.0
BLM,65.03395107752469,74.7956830735611,193.0,193.0
BLZ,162756.01479895497,229451.77016715112,148.0,147.0
BMU,62411.296124238215,90273.88296820357,164.0,164.0
BRA,125190886.77996111,163824255.20974597,5.0,5.0
BRB,386826.14165343926,439939.9100413444,136.0,137.0
BRN,2697371.05286183,3539442.008185175,78.0,81.0
CAN,35157741.51320365,48462420.21220962,17.0,16.0
CCK,3765.0527723329565,5770.861866636398,187.0,186.0
CHL,20679094.18202428,25241710.86358518,26.0,31.0
CHN,337184673.4244735,469793301.5727176,1.0,1.0
CIV,3652055.586886608,6190108.394294592,70.0,64.0
CMR,2236980.51487581,4470242.2698333915,82.0,75.0
COD,1061614.4519099116,2217375.2878484884,102.0,91.0
COG,2486665.164082276,5125842.743875754,80.0,70.0
COK,21480.255890944718,25495.370306395642,178.0,180.0
COL,21483986.361308422,29407126.90241526,24.0,28.0
COM,303235.76985617756,433393.2256965991,139.0,138.0
CPV,832494.4109032099,1000836.4290899502,117.0,119.0
CRI,4073605.6479050615,5108192.637404872,66.0,71.0
CUB,931963.2590885051,1308741.9687495043,109.0,109.0
CUW,488208.1252897409,620514.5757929601,131.0,132.0
CXR,30801.11402601495,50664.99246178406,175.0,171.0
CYM,39919.754120134705,56884.72396746876,171.0,170.0
CYP,1074997.946382235,1714529.107671142,100.0,100.0
DEU,16183842.375132889,23968412.97680997,35.0,32.0
DJI,3085809.3946461766,3905410.6199954925,74.0,79.0
DMA,37423.93872972792,47655.40964378702,173.0,174.0
DNK,5317493.317642401,9680174.565373736,57.0,52.0
DOM,7147913.663860555,9544121.086480627,48.0,53.0
DZA,5225335.638607499,7303252.964430986,58.0,61.0
ECU,6899891.976197959,9160289.39811162,49.0,55.0
EGY,50535227.61638378,83709247.46722054,12.0,12.0
ERI,84826.27378832783,124402.62040041637,160.0,159.0
ESH,139510.8394168925,171714.17315780258,153.0,155.0
