country,baseline_co2_t,alt_co2_t,baseline_rank,alt_rank
ABW,564560.3460108687,589233.058807832,123.0,122.0
AGO,5557949.445096444,5526649.509334748,55.0,55.0
AIA,281.64508854318177,281.64508854318177,190.0,190.0
ALA,2.77128544579462,2.77128544579462,195.0,195.0
ALB,193181.81575598518,197999.91169697692,146.0,146.0
ARE,50769820.03924736,51152703.32097015,14.0,11.0
ARG,14168716.044850847,16860019.44709917,37.0,33.0
ASM,255149.36294986447,250244.25197097004,143.0,143.0
ATA,19839.60962816125,19839.60962816125,181.0,180.0
ATG,164110.41218294398,162092.59054744986,148.0,149.0
AUS,137711485.03084734,137511733.90157878,4.0,4.0
AZE,34585.70370799138,34208.99268890095,174.0,174.0
BEL,20702224.77616975,20983518.192861967,25.0,25.0
BEN,884718.464499358,882844.2517674961,111.0,112.0
BES,1190972.9520563956,1185293.2647432904,96.0,98.0
BGD,7733266.323637838,7687476.558853334,47.0,46.0
BGR,547501.0524019737,557640.8049614191,124.0,125.0
BHR,1252621.6248004301,1254359.0041929833,93.0,94.0
BHS,5550764.2093934165,5816284.171457617,56.0,52.0
BLM,65.03395107752469,65.03395107752469,193.0,193.0
BLZ,161431.23415931826,162756.01479895497,149.0,148.0
BMU,60396.778616757096,62411.296124238215,164.0,164.0
BRA,125434166.42658411,125190886.77996111,5.0,5.0
BRB,386810.5280461022,386826.14165343926,136.0,136.0
BRN,2676670.233516374,2697371.05286183,78.0,78.0
CAN,34988527.29549589,35157741.51320365,18.0,17.0
CCK,3765.0527723329565,3765.0527723329565,187.0,187.0
CHL,20546198.788677573,20679094.18202428,26.0,26.0
CHN,344254565.56956166,337184673.4244735,1.0,1.0
CIV,3734558.1617086693,3652055.586886608,70.0,70.0
CMR,2247449.012815788,2236980.51487581,82.0,82.0
COD,1066237.8640735976,1061614.4519099116,100.0,102.0
COG,2491028.8669679235,2486665.164082276,79.0,80.0
COK,21480.255890944718,21480.255890944718,178.0,178.0
COL,17862992.540233906,21483986.361308422,29.0,24.0
COM,304084.7097820415,303235.76985617756,140.0,139.0
CPV,834945.1272526088,832494.4109032099,114.0,117.0
CRI,3819893.8052265113,4073605.6479050615,66.0,66.0
CUB,896893.3213011526,931963.2590885051,109.0,109.0
CUW,477589.56672496116,488208.1252897409,132.0,131.0
CXR,30463.003919621602,30801.11402601495,175.0,175.0
CYM,37955.23190943783,39919.754120134705,172.0,171.0
CYP,1022966.6182417226,1074997.946382235,103.0,100.0
DEU,16190674.091507204,16183842.375132889,34.0,35.0
DJI,3076839.757373903,3085809.3946461766,74.0,74.0
DMA,37113.51445666009,37423.93872972792,173.0,173.0
DNK,5284079.319012731,5317493.317642401,58.0,57.0
DOM,6872169.55036112,7147913.663860555,49.0,48.0
DZA,5158163.09948143,5225335.638607499,59.0,58.0
ECU,5940923.378810457,6899891.976197959,51.0,49.0
EGY,87512689.95311226,50535227.61638378,9.0,12.0
ERI,83229.13520615672,84826.27378832783,161.0,160.0
ESH,138671.57162912894,139510.8394168925,153.0,153.0
ESP,66324949.50857472,67242605.30268028,11.0,9.0
EST,1076573.2008067016,1071996.743335539,99.0,101.0
FIN,2249618.061378332,2247626.468418379,81.0,81.0
FJI,1022427.8777037753,994380.7972904445,104.0,105.0
FLK,53877.470813281936,53892.74861060815,168.0,168.0
FRA,17200807.395467088,17514373.729063272,31.0,31.0
FRO,445924.96476545645,445522.3654277186,134.0,134.0
FSM,199328.55355610233,199533.58427398014,145.0,145.0
GAB,1311251.1577369226,1307396.8260259726,91.0,93.0
GBR,21245018.87586098,21999668.221802074,24.0,23.0
GEO,592776.5920233343,593552.4484539882,122.0,120.0
GHA,3954163.1928326976,3937728.605126145,65.0,67.0
GIB,13855695.205093088,14961311.12123994,39.0,37.0
GIN,5624450.7213127855,5623671.900656934,54.0,54.0
GLP,988437.3050174655,987350.2929965855,105.0,106.0
GMB,257046.3246689692,255984.22058779205,142.0,142.0
GNB,73850.89001153648,73407.01193989447,163.0,163.0
GNQ,1485596.0844808484,1482572.3305575966,88.0,88.0
