iso3,income_group,gdp_pc,mean_distance_nm,t_per_musd,t_per_capita,share_pct,resolved,sids,ldc
CHN,Upper middle income,13861.970224368239,966.3566658247204,24.09438673412539,0.3339956714828592,13.150271237956062,True,False,False
MYS,Upper middle income,13124.555417838059,1947.088329083104,665.8246148769482,8.738652056513189,8.800501067897425,True,False,False
USA,High income,90026.51630057443,1606.646093765686,10.087801770356457,0.9081696505159592,8.68855774886492,True,False,False
AUS,High income,65129.72279904866,2485.917357222324,96.93677323034224,6.313465169526432,4.880130815608793,True,False,False
BRA,Upper middle income,10713.28568695044,2446.700565751907,71.8552618353754,0.7698059481530034,4.585704785811712,True,False,False
JPN,High income,35951.04495493088,1040.8272946488637,36.12663356950247,1.2987902275274985,4.485026052482679,True,False,False
KOR,High income,36226.96636374837,1156.855091256262,76.38451379313588,2.767179211895207,4.003372798072741,True,False,False
IND,Lower middle income,2702.4798714157846,1262.7386216994275,26.277229623667395,0.0710136841345317,2.9098534536948497,True,False,False
ESP,High income,38627.24721486472,1262.8330277974922,48.26350263823083,1.864286247862218,2.5755672907869664,True,False,False
ARE,High income,47973.401464360446,1157.2678017821763,163.7102966898457,7.853739786951528,2.5310371732099144,True,False,False
SGP,High income,98813.97881733054,2528.442346393715,139.4283765337645,13.77747264534219,2.356796954460127,True,True,False
EGY,Lower middle income,3085.8071203642567,1848.576622496029,229.1805238060037,0.707206892209376,2.343156672591995,True,False,False
IDN,Upper middle income,5059.625964112797,924.0867753654936,47.78167203097357,0.2417573884166361,1.9335266670513689,True,False,False
TWN,,34400.40345079188,799.7091326070667,72.22770074817244,2.4846620460601945,1.6204382943557087,False,False,False
SAU,High income,34536.65554564607,1297.3146197015783,39.465877103604,1.363019403333971,1.4106560593990844,True,False,False
CAN,High income,55697.66396608557,1280.7978722259704,20.88987670425554,1.163517332966584,1.3565412033439057,True,False,False
ZAF,Upper middle income,6597.714509182998,2787.6442873051847,112.21859849283702,0.740386275476372,1.341862574786651,True,False,False
NLD,High income,73683.91713277243,955.338608297417,35.81165283390096,2.638742859800773,1.3360007415119692,True,False,False
RUS,High income,17847.193741887164,812.589516564218,17.617996059315356,0.3144317890144057,1.2631257036956811,True,False,False
MEX,Upper middle income,13889.23396287446,1369.1166974267685,23.843611309665064,0.3311694959997775,1.2231434918126645,True,False,False
QAT,High income,72524.90663865165,1239.0661287110058,198.56612863440583,14.40098994080878,1.1981203898343895,True,False,False
TUR,Upper middle income,18599.442092237787,624.6085927247212,26.608154449537427,0.4948968278654905,1.189672147433615,True,False,False
GBR,High income,57601.962120195145,763.8021545020911,9.249731612754257,0.5328026899798421,1.0363295010702285,True,False,False
BEL,High income,60750.273586494346,794.6114677889552,49.04620624540761,2.97957044778814,0.9959800768088196,True,False,False
VNM,Upper middle income,5065.990918992359,893.6189989797372,63.88978251215988,0.3236650580229988,0.920473137137916,True,False,False
ITA,High income,43308.64030606737,748.2952899644883,12.43632606326771,0.5386003722030321,0.8882296318705931,True,False,False
THA,Upper middle income,8056.563597615371,1031.6357557342735,52.53027299189151,0.4232134851592709,0.8484394893343461,True,False,False
COL,Upper middle income,8561.620918553424,1603.1665197807563,64.29051551887095,0.5504310225309491,0.8231528499899177,True,False,False
FRA,High income,48985.73078078764,904.7515734070782,8.33860982623662,0.4084728960340575,0.7857355728619625,True,False,False
LKA,Upper middle income,5002.079043528222,1822.4851257835787,234.37404592477924,1.1723575034672593,0.713948701457308,True,False,False
CHL,High income,17994.59119575551,1745.5038976163305,70.63163936788752,1.270987475911167,0.7065561455537871,True,False,False
DEU,High income,60496.435082040756,592.2708962754702,4.745353142878723,0.2870769483495207,0.6709144867183886,True,False,False
ARG,Upper middle income,14898.088594392953,1307.3761096998855,34.54176049400831,0.5146062080460383,0.6604733580848083,True,False,False
NGA,Lower middle income,1224.254102376959,1353.207001960572,78.04604577725921,0.0955481917171095,0.6352794048657826,True,False,False
MAR,Lower middle income,4745.526842475443,1139.6322924478272,121.79508256113613,0.5779818335753842,0.621757689409532,True,False,False
OMN,High income,19947.396622667224,1411.086744244135,200.98571391098912,4.009141750872426,0.6166270562935204,True,False,False
PHL,Upper middle income,4170.723472710935,956.7971778479298,44.402617509032005,0.1851910390947253,0.605399726163036,True,False,False
PER,Upper middle income,9684.411703152979,1548.2671043348814,62.583246123224974,0.6060819211770632,0.5866003561907736,True,False,False
NZL,High income,49591.04057317783,1658.6383127195304,68.91692528970917,3.4176620382206324,0.5093920340415703,True,False,False
GRC,High income,26948.00704323676,828.3707487724907,61.6158081153841,1.6604232310680953,0.4840193009500489,True,False,False
PAN,High income,19789.73085558265,1722.4444416783915,190.61254878721803,3.7721710381956624,0.4826679310252176,True,False,False
MUS,Upper middle income,12991.293598908454,3306.319870913012,905.511415441364,11.763764655161925,0.4095473961191884,True,True,False
MLT,High income,47906.90000586506,1100.8813034750578,515.7871033931248,24.70976118656921,0.4009615568626284,True,False,False
PRT,High income,32081.81061504575,909.9366715884275,41.29168647522147,1.324712065473901,0.4006535254406042,True,False,False
BGD,Lower middle income,2597.3435233551477,1396.8021746550887,25.695654771764374,0.066740442499812,0.328213431351791,True,False,True
IRQ,Upper middle income,5409.678997159851,890.8673916495137,42.75141695132496,0.2312714423804062,0.3043965130446198,True,False,False
AGO,Lower middle income,3129.4766233199716,1820.3460451490216,88.9858226957842,0.2784790519333524,0.3043201189937862,False,False,True
KWT,High income,32312.311995277578,1273.960997389972,67.77059952559044,2.1898247559778885,0.2982268199963946,True,False,False
GIN,Lower middle income,1877.2541220778362,3354.572468521604,371.9226760135012,0.6981933766405648,0.2951023789043595,False,False,True
TTO,High income,18967.270463325545,1688.3223628990795,373.39549895790856,7.082293418523043,0.2711521015843166,True,True,False
DNK,High income,76970.15352172655,920.1744947604352,20.92890073748184,1.610900702804953,0.2709636785779591,True,False,False
DOM,Upper middle income,11059.208153179636,1217.1333311951698,74.91021958127972,0.8284477111497656,0.267155322553464,True,True,False
PAK,Lower middle income,1595.9091225275004,1004.3528625015002,22.57251321679523,0.036023679761056,0.2573533993179757,True,False,False
