scenario,scheme,row,resolution,benefit_2050
26,All economies,Albania,individual,0.059
26,All economies,Algeria,individual,0.112
26,All economies,Argentina,individual,0.048
26,All economies,Armenia,individual,0.087
26,All economies,Australia,individual,0.086
26,All economies,Bahrain,individual,0.173
26,All economies,Bangladesh,individual,0.113
26,All economies,Belgium,individual,-0.025
26,All economies,Bolivia (Plurinational State of),individual,0.049
26,All economies,Botswana,individual,0.072
26,All economies,Brazil,individual,0.054
26,All economies,Brunei Darussalam,individual,0.122
26,All economies,Bulgaria,individual,0.140
26,All economies,Cameroon,individual,0.145
26,All economies,Canada,individual,-0.007
26,All economies,Chile,individual,0.137
26,All economies,China,individual,0.070
26,All economies,Colombia,individual,0.096
26,All economies,Costa Rica,individual,0.133
26,All economies,Croatia,individual,-0.016
26,All economies,Cyprus,individual,0.062
26,All economies,Côte d'Ivoire,individual,0.209
26,All economies,Denmark,individual,-0.039
26,All economies,Dominican Republic,individual,0.102
26,All economies,Ecuador,individual,0.109
26,All economies,Egypt,individual,0.185
26,All economies,El Salvador,individual,0.138
26,All economies,Equatorial Guinea,individual,-0.015
26,All economies,Estonia,individual,-0.054
26,All economies,Eswatini,individual,0.058
26,All economies,Finland,individual,0.028
26,All economies,France,individual,0.000
26,All economies,Gabon,individual,0.155
26,All economies,Georgia,individual,0.144
26,All economies,Germany,individual,0.050
26,All economies,Ghana,individual,0.269
26,All economies,Greece,individual,0.013
26,All economies,Guatemala,individual,0.125
26,All economies,Honduras,individual,0.296
26,All economies,India,individual,0.073
26,All economies,Indonesia,individual,0.095
26,All economies,Iran (Islamic Republic of),individual,0.052
26,All economies,Iraq,individual,0.163
26,All economies,Ireland,individual,0.132
26,All economies,Israel,individual,0.058
26,All economies,Italy,individual,0.032
26,All economies,Japan,individual,0.049
26,All economies,Jordan,individual,0.131
26,All economies,Kenya,individual,0.430
26,All economies,Kuwait,individual,0.159
26,All economies,Latvia,individual,-0.073
26,All economies,Lithuania,individual,0.003
26,All economies,Madagascar,individual,0.312
26,All economies,Malaysia,individual,0.273
26,All economies,Malta,individual,-0.058
26,All economies,Mauritius,individual,0.121
26,All economies,Mexico,individual,0.025
26,All economies,Morocco,individual,0.162
26,All economies,Namibia,individual,0.167
26,All economies,Netherlands (Kingdom of the),individual,-0.002
26,All economies,New Zealand,individual,0.081
26,All economies,Nicaragua,individual,0.372
26,All economies,Nigeria,individual,0.152
26,All economies,Norway,individual,0.043
26,All economies,Oman,individual,0.200
26,All economies,Pakistan,individual,0.152
26,All economies,Panama,individual,0.030
26,All economies,Paraguay,individual,0.116
26,All economies,Peru,individual,0.109
26,All economies,Philippines,individual,0.163
26,All economies,Poland,individual,0.053
26,All economies,Portugal,individual,0.050
26,All economies,Qatar,individual,0.141
26,All economies,Republic of Korea,individual,0.135
26,All economies,Rest of American SIDS,aggregate,0.180
26,All economies,Rest of Asia,aggregate,0.097
26,All economies,Rest of Asian SIDS and LDCs,aggregate,0.469
26,All economies,Rest of Caribbean,aggregate,0.098
26,All economies,Rest of Europe,aggregate,0.158
26,All economies,Rest of LDC in Africa,aggregate,0.237
26,All economies,Rest of Middle East and North Africa,aggregate,0.105
26,All economies,Rest of Oceania,aggregate,0.427
26,All economies,Rest of Western Africa,aggregate,2.243
26,All economies,Rest of developing economies in Europe and Central Asia,aggregate,0.047
