price,passthrough,scheme,group,n,unresolved,group_mean_per_cap,median_per_cap,losers,sign_flips,within_2x_of_mean,spread_per_cap,spread_over_mean,p10,p90
60.0,0.5,all,SIDS,37,33,-56.62339675266385,-14.457377523843318,21,16,15,540.9469143429978,9.55341688005584,-217.15402986966197,23.253158052855028
60.0,0.5,all,LDC,29,26,14.67199162518906,24.698988643723535,3,3,26,98.41912531707149,6.7079594803001585,-3.007226090560785,27.37687162517214
60.0,0.5,all,all,155,63,-22.303634620297665,10.961174870784612,56,99,29,741.2910144255792,33.23633242049972,-83.81894704412808,26.885396786829308
60.0,0.5,developing,SIDS,37,33,-59.82441009285647,-10.943671737752188,21,16,14,575.3426851541305,9.617189442588941,-231.69635142325507,29.348298985941508
60.0,0.5,developing,LDC,29,26,20.767132558275534,30.794129576810015,3,3,26,98.4191253170715,4.739177401641435,3.087914842525692,33.47201255825862
60.0,0.5,developing,all,155,63,-28.41344462019373,10.681255223075762,72,83,46,775.6867852367118,27.299991099474898,-112.11957692217423,32.98053771991579
60.0,0.5,sids_ldc,SIDS,37,33,181.08955627072672,223.25557549954723,4,4,33,540.9469143429978,2.9871789709081216,20.558923153728557,260.96611107624557
60.0,0.5,sids_ldc,LDC,29,26,252.38494464857962,262.4119416671141,0,0,29,98.41912531707146,0.38995640351729416,234.70572693282978,265.0898246485627
60.0,0.5,sids_ldc,all,155,63,48.936302006709916,-5.468912911010186,101,101,1,1006.7772342477317,20.57321850984341,-81.474140131723,262.0251901136158
60.0,1.0,all,SIDS,37,33,-141.54742338337383,-57.21538492573278,32,5,26,1081.893828685996,7.6433311382556415,-462.6086896173701,18.205686227663918
60.0,1.0,all,LDC,29,26,1.0433533723319792,21.097347409400925,7,7,0,196.838250634143,188.65923650986394,-34.31508205916771,26.453113372298137
60.0,1.0,all,all,155,63,-72.90789911864148,-6.378280136476914,89,66,68,1482.5820288511582,20.334998632158964,-195.9385239663023,25.470163695612477
60.0,1.0,developing,SIDS,37,33,-144.74843672356647,-51.1202439926463,28,9,22,1116.2895994971286,7.711928534530319,-477.1510111709632,24.300827160750398
60.0,1.0,developing,LDC,29,26,7.138494305418461,27.192488342487405,6,6,1,196.838250634143,27.574197332444925,-28.21994112608123,32.54825430538461
60.0,1.0,developing,all,155,63,-79.01770911853752,-10.027405717449701,88,67,66,1516.9777996622909,19.197947100524186,-224.23915384434846,31.56530462869896
60.0,1.0,sids_ldc,SIDS,37,33,96.16552964001671,180.4975680976578,6,6,14,1081.8938286859957,11.250328810499209,-224.89573659397956,255.9186392510545
60.0,1.0,sids_ldc,LDC,29,26,238.75630639572256,258.8103004327915,0,0,29,196.83825063414298,0.8244316290766234,203.39787096422285,264.1660663956887
60.0,1.0,sids_ldc,all,155,63,-1.6679624916338833,-11.35398774193331,103,52,9,1747.5408855940268,1047.7099421355638,-173.676837205858,258.03679732579496
100.0,0.5,all,SIDS,37,33,-94.37232792110642,-24.09562920640553,21,16,15,901.5781905716632,9.55341688005584,-361.9233831161033,38.75526342142505
100.0,0.5,all,LDC,29,26,24.453319375315097,41.16498107287255,3,3,26,164.0318755284525,6.70795948030016,-5.012043484267973,45.62811937528689
100.0,0.5,all,all,155,63,-37.17272436716277,18.268624784641023,56,99,29,1235.4850240426317,33.236332420499714,-139.69824507354681,44.80899464471552
100.0,0.5,developing,SIDS,37,33,-99.70735015476075,-18.239452896253646,21,16,14,958.9044752568843,9.617189442588945,-386.1605857054251,48.913831643235845
100.0,0.5,developing,LDC,29,26,34.61188759712589,51.323549294683346,3,3,26,164.0318755284525,4.739177401641435,5.146524737542825,55.78668759709769
100.0,0.5,developing,all,155,63,-47.35574103365621,17.80209203845962,72,83,46,1292.8113087278527,27.299991099474898,-186.86596153695703,54.967562866526315
100.0,0.5,sids_ldc,SIDS,37,33,301.81592711787783,372.0926258325787,4,4,33,901.5781905716633,2.987178970908123,34.26487192288091,434.9435184604093
100.0,0.5,sids_ldc,LDC,29,26,420.64157441429927,437.35323611185686,0,0,29,164.03187552845247,0.3899564035172943,391.1762115547163,441.8163744142711
100.0,0.5,sids_ldc,all,155,63,81.56050334451656,-9.114854851683642,101,101,1,1677.9620570795528,20.5732185098434,-135.79023355287168,436.70865018935973
100.0,1.0,all,SIDS,37,33,-235.91237230562302,-95.35897487622128,32,5,26,1803.1563811433264,7.6433311382556415,-771.0144826956168,30.34281037943986
100.0,1.0,all,LDC,29,26,1.738922287219964,35.16224568233487,7,7,0,328.063751056905,188.65923650986412,-57.191803431946184,44.088522287163556
100.0,1.0,all,all,155,63,-121.51316519773579,-10.630466894128189,89,66,68,2470.9700480852634,20.334998632158964,-326.56420661050385,42.4502728260208
100.0,1.0,developing,SIDS,37,33,-241.24739453927745,-85.20040665441049,28,9,22,1860.4826658285474,7.711928534530318,-795.2516852849386,40.50137860125066
100.0,1.0,developing,LDC,29,26,11.897490509030764,45.32081390414567,6,6,1,328.063751056905,27.574197332444935,-47.03323521013539,54.24709050897436
