iso3,resolved,sids,ldc,income_group,annual_co2_t,t_per_musd_market_yr,t_per_musd_ppp_yr
MHL,False,True,False,Upper middle income,42002,136.370,135.789
MUS,True,True,False,Upper middle income,1722871,106.628,43.631
DJI,False,False,True,Lower middle income,459879,99.443,50.308
TGO,False,False,True,Lower middle income,937507,78.849,29.233
MYS,True,False,False,Upper middle income,37021662,78.404,26.810
KIR,False,True,True,Lower middle income,24290,69.553,48.436
FSM,False,True,False,Upper middle income,33889,67.534,67.263
MLT,True,False,False,High income,1686752,60.736,42.322
TUV,False,True,True,Upper middle income,3465,60.429,56.435
BHS,False,True,False,High income,857959,54.189,51.822
SLB,False,True,True,Lower middle income,77185,44.116,35.168
TTO,True,True,False,High income,1140674,43.969,22.914
GIN,False,False,True,Lower middle income,1241427,43.795,18.403
MOZ,False,False,True,Low income,874132,39.132,14.775
CPV,False,True,False,Upper middle income,117853,38.556,20.075
COG,False,False,False,Lower middle income,603590,37.015,13.608
JAM,False,True,False,Upper middle income,833280,36.700,22.736
NAM,True,False,False,Lower middle income,551428,36.566,15.557
VUT,False,True,False,Lower middle income,44238,32.680,30.899
GNQ,True,False,False,Upper middle income,410244,31.992,12.697
PLW,False,True,False,High income,10974,31.810,29.450
TON,False,True,False,Upper middle income,20666,30.426,24.268
COM,False,True,True,Lower middle income,51034,28.119,14.548
BRN,True,False,False,High income,416784,27.726,10.007
LKA,True,False,False,Upper middle income,3003416,27.599,8.728
EGY,True,False,False,Lower middle income,9857115,26.987,4.423
SYC,False,True,False,High income,63528,26.614,15.702
OMN,True,False,False,High income,2594007,23.667,11.750
QAT,True,False,False,High income,5040214,23.382,13.919
SLE,False,False,True,Low income,172120,23.060,5.646
FJI,False,True,False,Upper middle income,141364,22.808,9.837
PAN,True,False,False,High income,2030472,22.445,10.854
PNG,False,True,False,Lower middle income,685477,21.092,13.263
NRU,False,True,False,High income,3457,19.636,21.257
LBR,False,False,True,Low income,102772,19.591,9.772
ARE,True,False,False,High income,10647485,19.278,12.215
MRT,False,False,True,Lower middle income,208729,17.871,5.472
WSM,False,True,False,Upper middle income,21811,16.934,11.432
LCA,False,True,False,Upper middle income,44740,16.842,8.853
SGP,True,True,False,High income,9914497,16.418,10.723
GMB,False,False,True,Low income,39896,15.382,4.153
