grp,n,median_ratio,q25,q75,svc_kn,one_ended,median_dwt
LNG-Conventional Gas Carrier,92,0.2767850384106981,0.20832627375566407,0.39166780116252836,19.5,0.8571428571428571,78112.5
LNG-Q Flex,78,0.33527714621181803,0.22595270664235542,0.4332941140753052,19.5,0.8,121730.0
Containership-Regional Feeder,556,0.588905307263482,0.47220749311413196,0.7260385677412686,19.0,0.5119115144639819,17270.5
"PCC/PCTC => 4,000 cars",934,0.5895440734151574,0.44326621349838125,0.7270385916707724,20.0,0.5797962648556876,20138.5
"Tanker-7,500-9,999dwt",251,0.6031053062948482,0.5131465523167074,0.7684006608011295,14.0,0.2923076923076923,8268.0
LPG-Small Gas Carrier,279,0.6111453322904858,0.4566668935425039,0.8017051283565485,15.0,0.5319148936170213,8643.0
"Tanker-5,000-7,499dwt",23,0.6234255806346991,0.464945610132378,0.8044747864740929,12.0,0.5714285714285714,7066.0
Tanker-Handy,1178,0.6302607979207844,0.4953269495390462,0.7869537726516634,14.3,0.3897569444444444,19122.0
Containership-Small Feeder,386,0.6357073316256616,0.5252121462066413,0.7657495509391534,18.0,0.3645104895104895,11143.0
Bulk Carrier-Mini Capesize,85,0.6364010962749199,0.4652691040066515,0.9157569203483252,14.5,0.6153846153846154,115169.0
Tanker-MR1,706,0.6409594281307696,0.49188615413209735,0.8320252892255093,14.5,0.45,37538.0
"Reefer-5,000-7,999dwt",62,0.6437432106252716,0.4789456751681125,0.8821847523904632,16.0,0.75,6232.0
Containership-New Panamax,251,0.659905186474112,0.3944651721343647,0.8082608350109468,24.0,0.375,152343.0
Containership-Feedermax,403,0.6665371290710763,0.5185099074842909,0.7903691389307883,21.5,0.573170731707317,34317.0
"General Cargo 20,000-29,999dwt",162,0.6673166184797078,0.4999970311996186,0.804662983477222,15.2,0.44590643274853803,23688.0
"General Cargo 5,000-9,999 dwt",770,0.687185192780629,0.5343459451401154,0.821374762765377,13.3,0.4,8137.0
Containership-ULCS,196,0.6873286071732034,0.4215942028013135,1.0078417016404553,19.0,0.5590277777777778,199273.0
"Bulk Carrier-7,500-9,999dwt",47,0.6927128568444475,0.5146179885477937,0.8716461990070117,12.0,0.6486486486486487,8152.0
"PCC/PCTC 3,000-3,999 cars",53,0.6930975224554883,0.5660341421321395,0.8117223179326264,19.4,0.5555555555555556,11409.0
Tanker-LR2,495,0.6947688221658567,0.47809498541740636,0.9899555856570592,14.5,0.6666666666666666,109999.0
"General Cargo =>30,000dwt",151,0.6969970805695557,0.5773161768617285,0.9891465108310447,15.0,0.4444444444444444,33174.0
Tanker-Aframax,617,0.6984145109548712,0.5311323753788364,0.9255355036068684,14.0,0.7083333333333334,112871.0
"PCC/PCTC 2,000-2,999 cars",38,0.7237260210866192,0.6344174841096482,0.8464165335550355,18.9,0.48043071161048684,7210.0
"General Cargo 10,000-14,999dwt",650,0.744149759547531,0.5789396789470298,0.8900261371460751,14.2,0.4508064516129032,12325.0
Tanker-MR2,1598,0.7459096861251691,0.5598319471360327,0.9800102249372604,14.5,0.5384615384615384,49990.0
Containership-Post-Panamax,815,0.7522888482213425,0.49734336310910277,0.8859449988230959,24.5,0.4651162790697674,101818.0
Containership-Panamax,381,0.7544128907172156,0.6310951489650999,0.882296907312148,24.0,0.4848484848484848,58350.0
LPG-Medium Gas Carrier,234,0.757063535923785,0.5908928524607939,0.9574034806762243,16.0,0.6666666666666666,24136.0
"General Cargo 15,000-19,999dwt",232,0.7585543261627372,0.5994647713968715,0.941015672798504,15.0,0.44281045751633985,17356.0
Containership-Sub-Panamax,130,0.7607699320615453,0.5515499023052122,0.9429414714024998,22.2,0.5714285714285714,43090.0
Bulk Carrier-Post Panamax,169,0.7701205881914429,0.6020571224185649,1.087259380553628,14.5,0.6666666666666666,92710.0
Bulk Carrier-Small Handy,254,0.7797081491950055,0.5675535947169541,1.0332348244024119,13.5,0.6521739130434783,18893.5
Containership-Sub New Panamax,109,0.7923925178544199,0.5407600236584993,0.9120322383669176,22.0,0.5555555555555556,121849.0
LNG-New Panamax,571,0.7944884494055268,0.5555638112609187,1.136864853632341,19.5,0.8888888888888888,91610.0
Tanker-Suezmax,768,0.7979284957352782,0.5844324278522255,1.0394645029155665,14.5,0.7,158022.0
Containership-Mega Container,212,0.8084040431018006,0.4985934846844807,1.2750478077758334,18.5,0.4,199692.0
Tanker-LR1,289,0.8134484952682307,0.5453670502143279,1.089027082887364,14.5,0.6666666666666666,74552.0
Bulk Carrier-Capesize,448,0.8191072962415116,0.6089671248381241,1.0802793717897696,14.5,0.6666666666666666,180074.0
Bulk Carrier-Newcastlemax,77,0.8325872371091577,0.6623892620913725,0.99091054114632,14.5,0.6666666666666666,207994.0
Bulk Carrier-Pmax/Kamsarmax,1620,0.8344524030938001,0.6022464731758844,1.1104077405920938,14.5,0.6666666666666666,81395.0
Bulk Carrier-Handymax,241,0.8407424455027579,0.6321621750133767,1.1094939592286754,14.3,0.6,46428.0
Bulk Carrier-Large Handy,2335,0.8442608156827105,0.6344335777969885,1.1647386136368798,14.0,0.625,34939.0
LPG-Large Gas Carrier,41,0.8696916846571867,0.6616782727966991,1.1749695842965395,16.0,0.75,43601.0
Bulk Carrier-Supra/Ultramax,2499,0.8824564144818119,0.6282654221267201,1.2892943343468914,14.5,0.6666666666666666,58140.0
"Reefer-=>8,000dwt",231,0.8947860425340803,0.7363626487096611,1.468064796713516,21.0,0.8048780487804879,12955.0
LPG-Very Large Gas Carrier,155,0.9163882289408524,0.7355964089565799,1.1597302118231734,16.8,0.75,54475.0
Tanker-VLCC,264,0.9652706152200086,0.6967157894099263,1.347862466461409,13.0,0.6666666666666666,310092.5
