grp,n,median_ratio,q25,q75,svc_kn,one_ended,median_dwt
LNG-Q Flex,78,0.1425903629137919,0.11548798026555718,0.15848203036584183,19.5,0.7596153846153846,121730.0
LNG-Conventional Gas Carrier,92,0.15496108671984848,0.11892936923712885,0.2649705066588146,19.5,0.8,78112.5
"PCC/PCTC => 4,000 cars",932,0.29771309621429115,0.19140843792804998,0.43457161440628467,20.0,0.5714285714285714,20138.5
Containership-Mega Container,212,0.3252634498855568,0.23539050366196965,0.4497194889196162,18.5,0.4,199692.0
Tanker-LR2,493,0.3307719193078328,0.2015755929100397,0.5104296161158055,14.5,0.6666666666666666,109999.0
Containership-New Panamax,252,0.3510375414678245,0.2529696567306711,0.4876985849633968,24.0,0.375,152343.0
Tanker-Handy,1176,0.359486895991205,0.26146302980904573,0.49622393838450773,14.3,0.375,19122.0
"General Cargo =>30,000dwt",152,0.36494061885827794,0.21473793245721698,0.6633533004822652,15.0,0.4444444444444444,33174.0
"Tanker-7,500-9,999dwt",251,0.3708281540125299,0.3101004030251443,0.4546547933880576,14.0,0.275,8268.0
"PCC/PCTC 3,000-3,999 cars",53,0.3735696490105136,0.3001825769943685,0.4972533791126696,19.4,0.5526315789473685,11409.0
Containership-ULCS,196,0.3741329734192155,0.21452217378757354,0.6087539736142603,19.0,0.5419580419580419,199273.0
"General Cargo 5,000-9,999 dwt",771,0.3980299657459689,0.317805236837332,0.5156091775583005,13.3,0.3793103448275862,8137.0
Tanker-MR1,705,0.3992312308596444,0.2899303243339043,0.5438776343134868,14.5,0.4444444444444444,37538.0
LPG-Small Gas Carrier,279,0.4052000239088387,0.28369149540517224,0.5421993174580374,15.0,0.5,8643.0
"General Cargo 20,000-29,999dwt",161,0.4108938207114407,0.2274242056138858,0.5360074975211869,15.2,0.4,23688.0
"PCC/PCTC 2,000-2,999 cars",38,0.41488430835426354,0.3708596263378699,0.49060786601770984,18.9,0.48043071161048684,7210.0
Containership-Regional Feeder,556,0.4231699605967788,0.33439439087253386,0.5464136944657637,19.0,0.505688429217841,17270.5
"Reefer-5,000-7,999dwt",62,0.42742789408758386,0.29936292018866034,0.6038386825212039,16.0,0.7171428571428571,6232.0
Containership-Small Feeder,386,0.4336660461795465,0.3335175917103158,0.5515328880430814,18.0,0.3421854304635762,11143.0
"General Cargo 15,000-19,999dwt",233,0.4373678255083049,0.3243866680081823,0.6025610617231385,15.0,0.4230769230769231,17356.0
Tanker-Suezmax,766,0.43765290768554843,0.31349839919888817,0.6289760190128397,14.5,0.6666666666666666,158041.0
"General Cargo 10,000-14,999dwt",648,0.4461016208430691,0.3242727433946646,0.5993830927938354,14.2,0.4230769230769231,12325.0
"Tanker-5,000-7,499dwt",23,0.4536137678127189,0.31578365088772353,0.5614447613529818,12.0,0.5714285714285714,7066.0
Bulk Carrier-Small Handy,254,0.45720888246544555,0.34818930632681766,0.6852042359174959,13.5,0.6306042884990253,18893.5
Tanker-Aframax,617,0.4589482916463722,0.3345152574194228,0.6205094089150237,14.0,0.6956521739130435,112871.0
Tanker-LR1,289,0.4590410983329373,0.281692884355165,0.695990369159007,14.5,0.6666666666666666,74552.0
Bulk Carrier-Mini Capesize,85,0.4611775177649395,0.3046463604666826,0.7172466000061332,14.5,0.6153846153846154,115169.0
Tanker-MR2,1594,0.48143081659210385,0.3321475075066139,0.691522191999012,14.5,0.5,49990.0
"Bulk Carrier-7,500-9,999dwt",47,0.4946193687906713,0.3788196743050066,0.6103618090779689,12.0,0.65,8152.0
Containership-Feedermax,404,0.5085603416287475,0.38447386245489845,0.6467847641873378,21.5,0.5714285714285714,34317.0
Containership-Post-Panamax,817,0.5122882796962822,0.3395233713866325,0.6985198032590088,24.5,0.4615384615384615,101818.0
Containership-Sub-Panamax,130,0.5197333529355761,0.36850770104329533,0.756137080761319,22.2,0.5625390869293309,43090.0
LPG-Medium Gas Carrier,233,0.5219383605225982,0.4063128429902112,0.7110149432689999,16.0,0.6428571428571429,24136.0
LNG-New Panamax,571,0.5479964579688386,0.37273445775327496,0.7805467335646449,19.5,0.8571428571428571,91610.0
Bulk Carrier-Newcastlemax,77,0.5557347340099863,0.4220464606803811,0.6956887272071695,14.5,0.6666666666666666,207994.0
Bulk Carrier-Supra/Ultramax,2491,0.563799301418532,0.32172749105900433,0.9266525550721292,14.5,0.6666666666666666,58126.0
Bulk Carrier-Post Panamax,169,0.5648857229132896,0.3754805527181765,0.8065219995573664,14.5,0.6666666666666666,92710.0
Containership-Panamax,379,0.5669771179587574,0.44110771324244546,0.6948965163354384,24.0,0.4769230769230769,58350.0
Bulk Carrier-Capesize,445,0.575663900706987,0.3321781522062403,0.8432033536285763,14.5,0.6666666666666666,180099.0
Bulk Carrier-Pmax/Kamsarmax,1616,0.5836933694328306,0.38563834334823666,0.8421759938603787,14.5,0.6666666666666666,81395.0
Bulk Carrier-Large Handy,2334,0.5859387580224301,0.3855743403107251,0.8700771412439766,14.0,0.6,34938.5
Tanker-VLCC,264,0.6052397094014068,0.4154231257112586,0.8815877238202705,13.0,0.6666666666666666,310092.5
Bulk Carrier-Handymax,239,0.6134230274695563,0.4132426683072332,0.8450987541788242,14.3,0.6,46428.0
LPG-Large Gas Carrier,41,0.6301065664663864,0.4959463739537071,1.0317246099119122,16.0,0.7777777777777778,43601.0
LPG-Very Large Gas Carrier,155,0.6624488221845181,0.5207087715831968,0.8926894976937231,16.8,0.6666666666666666,54475.0
Containership-Sub New Panamax,109,0.6755781710352399,0.4268699192165201,0.784123786938324,22.0,0.5416666666666666,121849.0
"Reefer-=>8,000dwt",231,0.6812430816885029,0.5180240778396146,1.101909010014865,21.0,0.8,12955.0
