log_gdp,category,fit,lo,hi
19.669772,neither,0.0269,0.0037,0.1017
19.828425,neither,0.0309,0.0046,0.1122
19.987077,neither,0.0355,0.0057,0.1237
20.145730,neither,0.0408,0.0069,0.1357
20.304383,neither,0.0467,0.0084,0.1485
20.463035,neither,0.0536,0.0103,0.1623
20.621688,neither,0.0613,0.0126,0.1764
20.780340,neither,0.0701,0.0151,0.1913
20.938993,neither,0.0800,0.0182,0.2085
21.097646,neither,0.0912,0.0219,0.2268
21.256298,neither,0.1038,0.0264,0.2462
21.414951,neither,0.1180,0.0323,0.2666
21.573604,neither,0.1337,0.0392,0.2879
21.732256,neither,0.1512,0.0467,0.3099
21.890909,neither,0.1705,0.0573,0.3365
22.049561,neither,0.1918,0.0701,0.3595
22.208214,neither,0.2150,0.0853,0.3845
22.366867,neither,0.2401,0.1017,0.4118
22.525519,neither,0.2672,0.1206,0.4401
22.684172,neither,0.2962,0.1426,0.4692
22.842825,neither,0.3270,0.1683,0.4985
23.001477,neither,0.3592,0.1963,0.5265
23.160130,neither,0.3928,0.2283,0.5526
23.318782,neither,0.4275,0.2598,0.5815
23.477435,neither,0.4629,0.2950,0.6128
23.636088,neither,0.4987,0.3341,0.6387
23.794740,neither,0.5344,0.3748,0.6656
23.953393,neither,0.5699,0.4182,0.6937
24.112046,neither,0.6046,0.4622,0.7182
24.270698,neither,0.6383,0.4997,0.7433
24.429351,neither,0.6707,0.5396,0.7724
24.588003,neither,0.7015,0.5783,0.7998
24.746656,neither,0.7306,0.6178,0.8247
24.905309,neither,0.7579,0.6536,0.8443
25.063961,neither,0.7832,0.6880,0.8652
25.222614,neither,0.8066,0.7224,0.8843
25.381267,neither,0.8279,0.7510,0.8999
25.539919,neither,0.8474,0.7757,0.9137
25.698572,neither,0.8650,0.7989,0.9261
25.857224,neither,0.8809,0.8174,0.9387
26.015877,neither,0.8951,0.8366,0.9498
26.174530,neither,0.9079,0.8535,0.9587
26.333182,neither,0.9192,0.8687,0.9663
26.491835,neither,0.9292,0.8824,0.9713
26.650488,neither,0.9381,0.8948,0.9762
26.809140,neither,0.9459,0.9040,0.9812
26.967793,neither,0.9528,0.9136,0.9846
27.126445,neither,0.9588,0.9230,0.9874
27.285098,neither,0.9641,0.9311,0.9898
27.443751,neither,0.9688,0.9381,0.9918
27.602403,neither,0.9728,0.9442,0.9934
27.761056,neither,0.9764,0.9496,0.9946
27.919709,neither,0.9795,0.9546,0.9956
28.078361,neither,0.9821,0.9594,0.9964
28.237014,neither,0.9845,0.9636,0.9970
28.395666,neither,0.9865,0.9675,0.9975
28.554319,neither,0.9883,0.9709,0.9980
28.712972,neither,0.9899,0.9740,0.9983
28.871624,neither,0.9912,0.9768,0.9986
29.030277,neither,0.9924,0.9790,0.9989
19.669772,sids,0.0089,0.0008,0.0303
19.828425,sids,0.0103,0.0010,0.0340
19.987077,sids,0.0119,0.0012,0.0382
