iso3,co2_t,share_pct,resolved,sids,ldc,dependency,t_per_capita,t_per_musd
CHN,469793301.5727176,13.150271237956062,True,False,False,False,0.33399567148285925,24.09438673412539
MYS,314397808.0275984,8.800501067897425,True,False,False,False,8.738652056513189,665.8246148769482
USA,310398634.1333371,8.68855774886492,True,False,False,False,0.9081696505159592,10.087801770356457
AUS,174342622.02548757,4.880130815608793,True,False,False,False,6.313465169526432,96.93677323034225
BRA,163824255.20974597,4.585704785811712,True,False,False,False,0.7698059481530034,71.8552618353754
JPN,160227508.52118436,4.485026052482679,True,False,False,False,1.2987902275274983,36.12663356950247
KOR,143020451.0766674,4.003372798072741,True,False,False,False,2.767179211895207,76.38451379313588
IND,103954484.00778043,2.9098534536948497,True,False,False,False,0.07101368413453171,26.277229623667395
ESP,92012114.35617322,2.5755672907869664,True,False,False,False,1.864286247862218,48.26350263823083
ARE,90421276.3744012,2.5310371732099144,True,False,False,False,7.853739786951528,163.7102966898457
SGP,84196546.39339906,2.356796954460127,True,True,False,False,13.77747264534219,139.4283765337645
EGY,83709247.46722054,2.343156672591995,True,False,False,False,0.707206892209376,229.18052380600366
IDN,69075219.83053337,1.9335266670513687,True,False,False,False,0.24175738841663616,47.781672030973574
TWN,57890141.01115647,1.6204382943557087,False,False,False,False,2.4846620460601945,72.22770074817244
SAU,50395672.87523577,1.4106560593990844,True,False,False,False,1.3630194033339713,39.465877103604
CAN,48462420.21220962,1.3565412033439055,True,False,False,False,1.163517332966584,20.88987670425554
ZAF,47938026.36149054,1.341862574786651,True,False,False,False,0.740386275476372,112.21859849283702
NLD,47728612.42944683,1.3360007415119692,True,False,False,False,2.638742859800773,35.81165283390096
RUS,45125152.470451206,1.2631257036956813,True,False,False,False,0.3144317890144057,17.617996059315356
MEX,43696788.37173305,1.2231434918126645,True,False,False,False,0.3311694959997775,23.843611309665064
QAT,42802838.316920966,1.1981203898343897,True,False,False,False,14.40098994080878,198.56612863440586
TUR,42501024.94606889,1.189672147433615,True,False,False,False,0.49489682786549055,26.608154449537427
GBR,37022860.51862929,1.0363295010702285,True,False,False,False,0.5328026899798421,9.249731612754255
BEL,35581377.7615579,0.9959800768088197,True,False,False,False,2.9795704477881397,49.04620624540761
VNM,32883893.13650621,0.9204731371379159,True,False,False,False,0.32366505802299883,63.88978251215988
ITA,31731994.250185806,0.8882296318705931,True,False,False,False,0.5386003722030321,12.43632606326771
THA,30310491.82685952,0.8484394893343461,True,False,False,False,0.42321348515927093,52.53027299189151
COL,29407126.90241526,0.8231528499899177,True,False,False,False,0.5504310225309491,64.29051551887095
FRA,28070395.070826396,0.7857355728619625,True,False,False,False,0.4084728960340575,8.33860982623662
LKA,25505809.845433693,0.713948701457308,True,False,False,False,1.1723575034672593,234.37404592477924
CHL,25241710.86358518,0.7065561455537871,True,False,False,False,1.270987475911167,70.63163936788752
DEU,23968412.97680997,0.6709144867183886,True,False,False,False,0.2870769483495207,4.745353142878723
ARG,23595403.76626554,0.6604733580848083,True,False,False,False,0.5146062080460383,34.54176049400831
NGA,22695350.0526758,0.6352794048657826,True,False,False,False,0.09554819171710953,78.04604577725921
MAR,22212286.91031387,0.621757689409532,True,False,False,False,0.5779818335753842,121.79508256113613
OMN,22028995.09624296,0.6166270562935204,True,False,False,False,4.009141750872426,200.98571391098912
PHL,21627898.8454962,0.605399726163036,True,False,False,False,0.1851910390947253,44.402617509032005
PER,20956291.55109572,0.5866003561907736,True,False,False,False,0.6060819211770632,62.583246123224974
GIB,19333641.123431,0.5411797570107881,False,False,False,True,481.82328473884763,
NZL,18198025.0549134,0.5093920340415703,True,False,False,False,3.4176620382206324,68.91692528970917
GRC,17291584.432260364,0.4840193009500489,True,False,False,False,1.6604232310680953,61.6158081153841
PAN,17243306.755918592,0.48266793102521766,True,False,False,False,3.7721710381956624,190.61254878721803
MUS,14631076.415975748,0.40954739611918844,True,True,False,False,11.763764655161925,905.511415441364
MLT,14324347.398898918,0.40096155686262847,True,False,False,False,24.70976118656921,515.7871033931248
PRT,14313342.979589054,0.40065352544060423,True,False,False,False,1.324712065473901,41.29168647522147
