country,s0.0_f175_a0.03_m0.8,s0.0_f175_a0.03_m0.9,s0.0_f175_a0.05_m0.8,s0.0_f175_a0.05_m0.9,s0.0_f175_a0.08_m0.8,s0.0_f175_a0.08_m0.9,s0.0_f190_a0.03_m0.8,s0.0_f190_a0.03_m0.9,s0.0_f190_a0.05_m0.8,s0.0_f190_a0.05_m0.9,s0.0_f190_a0.08_m0.8,s0.0_f190_a0.08_m0.9,s0.0_f205_a0.03_m0.8,s0.0_f205_a0.03_m0.9,s0.0_f205_a0.05_m0.8,s0.0_f205_a0.05_m0.9,s0.0_f205_a0.08_m0.8,s0.0_f205_a0.08_m0.9,s0.5_f175_a0.03_m0.8,s0.5_f175_a0.03_m0.9,s0.5_f175_a0.05_m0.8,s0.5_f175_a0.05_m0.9,s0.5_f175_a0.08_m0.8,s0.5_f175_a0.08_m0.9,s0.5_f190_a0.03_m0.8,s0.5_f190_a0.03_m0.9,s0.5_f190_a0.05_m0.8,s0.5_f190_a0.05_m0.9,s0.5_f190_a0.08_m0.8,s0.5_f190_a0.08_m0.9,s0.5_f205_a0.03_m0.8,s0.5_f205_a0.03_m0.9,s0.5_f205_a0.05_m0.8,s0.5_f205_a0.05_m0.9,s0.5_f205_a0.08_m0.8,s0.5_f205_a0.08_m0.9,s1.0_f175_a0.03_m0.8,s1.0_f175_a0.03_m0.9,s1.0_f175_a0.05_m0.8,s1.0_f175_a0.05_m0.9,s1.0_f175_a0.08_m0.8,s1.0_f175_a0.08_m0.9,s1.0_f190_a0.03_m0.8,s1.0_f190_a0.03_m0.9,s1.0_f190_a0.05_m0.8,s1.0_f190_a0.05_m0.9,s1.0_f190_a0.08_m0.8,s1.0_f190_a0.08_m0.9,s1.0_f205_a0.03_m0.8,s1.0_f205_a0.03_m0.9,s1.0_f205_a0.05_m0.8,s1.0_f205_a0.05_m0.9,s1.0_f205_a0.08_m0.8,s1.0_f205_a0.08_m0.9,rank_min,rank_max,rank_span
CHN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
USA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,1
MYS,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1
AUS,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0
BRA,5,5,6,6,6,6,5,5,6,6,6,6,5,5,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,1
JPN,6,6,5,5,5,5,6,6,5,5,5,5,6,6,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,2
KOR,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,1
IND,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0
SGP,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,9,12,3
ARE,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,11,1
ESP,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,11,2
EGY,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,2
IDN,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0
TWN,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,15,1
NLD,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,20,20,21,21,21,21,20,20,21,21,21,21,20,20,21,21,21,21,15,21,6
CAN,16,16,16,16,17,17,16,16,16,16,17,17,16,16,16,16,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,16,18,2
MEX,17,17,17,17,16,16,17,17,17,17,16,16,17,17,17,17,16,16,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,16,22,6
ZAF,18,18,18,18,19,19,18,18,18,18,19,19,18,18,18,18,19,19,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,19,3
TUR,19,19,19,19,18,18,19,19,19,19,18,18,19,19,19,19,18,18,22,22,22,22,21,21,22,22,22,22,21,21,22,22,22,22,21,21,21,21,20,20,20,20,21,21,20,20,20,20,21,21,20,20,20,20,18,22,4
GBR,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,20,26,6
