country,co2_t,vessels,co2_from_gappy_t,gappy_vessels,gappy_co2_share,gappy_vessel_share
CHN,469793301.5727176,20197,83317425.95165929,3124.0,0.17734911432908732,0.154676437094618
MYS,314397808.0275984,19199,55833417.644946024,2963.0,0.17758844438268115,0.15433095473722588
USA,310398634.1333371,13664,58318543.85842644,2145.0,0.18788273350898413,0.156981850117096
AUS,174342622.02548757,9614,27045021.78687758,1489.0,0.15512570289853622,0.15487830247555648
BRA,163824255.20974597,11146,27149663.10999101,1783.0,0.16572431887592592,0.1599677014175489
JPN,160227508.52118436,11875,25661164.95295179,1835.0,0.16015455267195283,0.15452631578947368
KOR,143020451.0766674,15888,25239302.927292403,2513.0,0.17647338361254816,0.15816968781470292
IND,103954484.00778043,14110,17077649.883839637,2181.0,0.16428006975207984,0.15457122608079377
ESP,92012114.35617322,14228,17036198.23615516,2277.0,0.18515168742030086,0.16003654765251615
ARE,90421276.3744012,11936,16711540.378554992,1968.0,0.1848186737528307,0.1648793565683646
SGP,84196546.39339906,16537,14215702.967149436,2556.0,0.16883950204712833,0.15456249622059623
EGY,83709247.46722054,13357,16090678.739230521,2193.0,0.19222104159437609,0.1641835741558733
IDN,69075219.83053337,13036,10216188.920874627,1936.0,0.14789947749625196,0.14851181343970543
TWN,57890141.01115647,9609,10190224.34065661,1475.0,0.17602693934866684,0.15350192527838485
SAU,50395672.87523577,9081,9285385.639237486,1393.0,0.18424966092277906,0.15339720295121684
CAN,48462420.21220962,8550,9022876.535265194,1397.0,0.18618295363201798,0.1633918128654971
ZAF,47938026.36149054,9213,7998963.117365362,1500.0,0.1668605014534155,0.16281341582546402
NLD,47728612.42944683,11008,9063790.095466673,1808.0,0.18990265239461773,0.16424418604651161
RUS,45125152.470451206,10790,8430390.330793587,1669.0,0.1868224231777159,0.15468025949953662
MEX,43696788.37173305,7365,8598134.796904614,1173.0,0.19676811768772118,0.15926680244399186
QAT,42802838.316920966,4914,9740235.181672255,810.0,0.2275604974967679,0.16483516483516483
TUR,42501024.94606889,11309,6940873.792120677,1817.0,0.16331073899813492,0.16066849411972764
GBR,37022860.51862929,9045,6972547.683955559,1498.0,0.18833087412160085,0.165616362631288
BEL,35581377.7615579,9336,7124709.764644193,1489.0,0.2002370400716109,0.15949014567266495
VNM,32883893.13650621,9246,5297520.399846932,1422.0,0.16109772580320986,0.1537962362102531
ITA,31731994.250185806,9152,5715876.829817248,1434.0,0.18012977012258782,0.15668706293706294
THA,30310491.82685952,8752,5038066.75867091,1299.0,0.16621527580118142,0.1484232175502742
COL,29407126.90241526,6482,5771699.629137433,1078.0,0.196268736088713,0.16630669546436286
FRA,28070395.070826393,8588,5204364.853109327,1420.0,0.18540404721692827,0.16534699580810433
LKA,25505809.845433693,5104,4886554.763283283,820.0,0.19158594817792557,0.16065830721003135
CHL,25241710.86358518,4984,4651849.101107226,800.0,0.18429214747951933,0.16051364365971107
