country,co2_t,cost_usd,voyages,mean_distance_nm,co2_share_pct,rank,population,gdp_usd,cost_per_capita_usd,cost_share_of_gdp_pct
CHN,469793301.5727176,46979330157.27176,1060236.5,966.3566658247204,13.150271237956062,1,1406585000.0,19498039388043.0,33.399567148285925,0.2409438673412539
MYS,314397808.0275984,31439780802.759834,300680.5,1947.088329083104,8.800501067897425,2,35977838.0,472193128645.0,873.8652056513189,6.658246148769481
USA,310398634.1333371,31039863413.33371,422820.0,1606.646093765686,8.68855774886492,3,341784857.0,30769700000000.0,90.81696505159591,0.10087801770356458
AUS,174342622.02548757,17434262202.54876,154684.5,2485.917357222324,4.880130815608793,4,27614411.0,1798518933689.0,631.3465169526432,0.9693677323034228
BRA,163824255.20974597,16382425520.974598,154068.0,2446.700565751907,4.585704785811712,5,212812405.0,2279920092492.0,76.98059481530035,0.7185526183537541
JPN,160227508.52118436,16022750852.118435,358291.5,1040.8272946488637,4.485026052482679,6,123366734.0,4435162999977.0,129.87902275274982,0.36126633569502464
KOR,143020451.0766674,14302045107.66674,260126.0,1156.8550912562619,4.003372798072741,7,51684564.0,1872374961553.0,276.7179211895207,0.7638451379313589
IND,103954484.00778043,10395448400.778044,207758.0,1262.7386216994275,2.9098534536948497,8,1463865525.0,3956067115772.0,7.101368413453171,0.262772296236674
ESP,92012114.35617322,9201211435.617321,184470.5,1262.8330277974922,2.5755672907869664,9,49355143.0,1906453309986.0,186.4286247862218,0.48263502638230826
ARE,90421276.3744012,9042127637.44012,157227.5,1157.2678017821765,2.5310371732099144,10,11513149.0,552324919096.0,785.3739786951529,1.6371029668984574
SGP,84196546.39339906,8419654639.339906,87483.5,2528.442346393715,2.356796954460127,11,6111175.0,603869516999.0,1377.747264534219,1.3942837653376448
EGY,83709247.46722054,8370924746.722054,83616.0,1848.576622496029,2.343156672591995,12,118365995.0,365254630180.0,70.7206892209376,2.291805238060036
IDN,69075219.83053337,6907521983.053336,257545.5,924.0867753654937,1.9335266670513687,13,285721236.0,1445642584164.0,24.175738841663613,0.47781672030973577
TWN,57890141.01115647,5789014101.115646,139096.0,799.7091326070667,1.6204382943557087,14,23299000.0,801495000000.0,248.4662046060194,0.7222770074817244
SAU,50395672.87523577,5039567287.523578,70506.0,1297.3146197015785,1.4106560593990844,15,36973555.0,1276942933333.0,136.30194033339714,0.39465877103604
CAN,48462420.21220962,4846242021.220962,101063.0,1280.7978722259704,1.3565412033439055,16,41651653.0,2319899772426.0,116.3517332966584,0.20889876704255533
ZAF,47938026.36149054,4793802636.149055,44007.0,2787.6442873051847,1.341862574786651,17,64747319.0,427184325997.0,74.03862754763722,1.1221859849283702
NLD,47728612.42944683,4772861242.944683,110970.0,955.338608297417,1.3360007415119692,18,18087633.0,1332767651100.0,263.8742859800773,0.35811652833900953
