country,year,co2_t
ABW,2018,152444.0545975698
ABW,2019,133816.15754556528
ABW,2020,101143.34466148015
ABW,2021,51874.69729543971
ABW,2022,39629.59033435602
ABW,2023,66598.75827058304
ABW,2024,103985.23972730037
ABW,2025,59441.152252549145
ABW,2026,30328.66498280554
AGO,2018,1639591.4045439677
AGO,2019,1407768.4729688189
AGO,2020,1430178.7578947
AGO,2021,1212612.404650355
AGO,2022,1237173.3494314626
AGO,2023,1151213.5090042346
AGO,2024,1085076.3179207651
AGO,2025,1111342.2620878501
AGO,2026,596876.5696589479
AIA,2018,75.57051062047756
AIA,2021,294.60839749588024
AIA,2022,4.686715802982488
AIA,2026,4.992824858529968
ALA,2023,2.7712854457946197
ALB,2018,28031.325905031717
ALB,2019,26318.876964996678
ALB,2020,32130.626840639186
ALB,2021,32542.032085874525
ALB,2022,27115.857645763554
ALB,2023,29214.66597922576
ALB,2024,32270.22404697563
ALB,2025,48541.757955093155
ALB,2026,26297.608963361345
ARE,2018,12236642.27965748
ARE,2019,11535293.858440178
ARE,2020,10714702.629387826
ARE,2021,10934646.638196979
ARE,2022,10922542.384015001
ARE,2023,11033645.317710793
ARE,2024,10200941.323159367
ARE,2025,10180953.420511253
ARE,2026,2661908.5233223266
ARG,2018,2773582.403712779
ARG,2019,3258147.642905165
ARG,2020,2897319.6303013605
ARG,2021,3318057.915669388
ARG,2022,2883075.2012347183
ARG,2023,2056831.4803890705
ARG,2024,2297255.598487568
ARG,2025,2688114.527073355
ARG,2026,1423019.3664921366
ASM,2018,40692.39256971293
ASM,2019,42919.97078350415
ASM,2020,30608.82826632173
ASM,2021,34840.11463491766
ASM,2022,26233.240795779264
ASM,2023,31761.175687882464
ASM,2024,29073.35559715011
ASM,2025,29992.815695489284
ASM,2026,15979.664705279996
ATA,2018,2944.5468687666385
ATA,2019,3374.554942785544
ATA,2020,4985.365251493693
ATA,2021,2300.096408433112
ATA,2022,1680.739824037694
ATA,2023,3313.553992081209
ATA,2024,813.8776600997671
ATA,2025,3976.8783779357004
ATA,2026,3026.094177337477
ATG,2018,18110.348702861593
ATG,2019,21665.903868607045
ATG,2020,18743.72574511975
ATG,2021,16236.44048171794
ATG,2022,18617.2171082858
ATG,2023,27277.486782713888
ATG,2024,27165.006580730107
ATG,2025,25231.555281131146
ATG,2026,11837.239647250844
AUS,2018,22908186.41300314
AUS,2019,22256457.560119703
AUS,2020,21217540.440318033
AUS,2021,21504386.376332037
AUS,2022,20839877.710635677
AUS,2023,19681453.341994144
AUS,2024,17958748.151541818
AUS,2025,18470613.830055803
AUS,2026,9505358.20148723
AZE,2018,7050.33612920217
AZE,2019,9580.270754580652
AZE,2020,4465.215859579019
AZE,2021,5170.111171646886
AZE,2022,4019.390358324146
AZE,2023,3810.428625695893
AZE,2024,5181.738073711409
AZE,2025,3472.3617705329443
AZE,2026,2216.690867161916
BEL,2018,3912809.210418729
BEL,2019,4197942.028651672
BEL,2020,4184204.346981708
BEL,2021,4753888.083146566
BEL,2022,5134824.40154282
BEL,2023,4440788.2702865545
BEL,2024,3676660.9901140193
BEL,2025,3519869.092013549
BEL,2026,1760391.3384022838
BEN,2018,239351.6784896684
BEN,2019,248159.61315414502
BEN,2020,250260.06960129648
BEN,2021,236013.7665323723
BEN,2022,152627.07517772025
BEN,2023,116944.72507432765
BEN,2024,112240.56860057397
BEN,2025,140711.4492932104
BEN,2026,91077.02464411898
BES,2018,322050.9408068004
BES,2019,287827.51876890595
BES,2020,147571.1254676911
BES,2021,175270.71903787996
BES,2022,159930.07658978246
BES,2023,133506.57870987273
BES,2024,123932.36011077893
BES,2025,86954.22902565218
BES,2026,75668.07999894793
BGD,2018,1173185.2887821388
BGD,2019,1291344.5513282132
BGD,2020,1350172.5042352835
BGD,2021,1588937.4312825338
BGD,2022,1521026.6415140652
BGD,2023,1414902.7944511669
BGD,2024,1310793.5835205659
BGD,2025,1377168.0972313655
BGD,2026,697890.4883344476
BGR,2018,95686.41099969493
BGR,2019,103515.37345786253
BGR,2020,102670.66405347585
BGR,2021,94402.88245664365
BGR,2022,101227.39531962828
BGR,2023,91511.68349090061
BGR,2024,93630.3546436906
BGR,2025,89025.82366899992
BGR,2026,39971.2464200127
BHR,2018,261643.90932893925
BHR,2019,273984.92754035146
BHR,2020,258436.3589295951
BHR,2021,303390.66972613026
BHR,2022,278397.49494107947
BHR,2023,269070.71654069197
BHR,2024,251125.0413645905
BHR,2025,289654.5041190591
BHR,2026,54183.10265057387
BHS,2018,880139.034380108
BHS,2019,1038417.7799292917
BHS,2020,974199.568028879
BHS,2021,906567.7968356333
BHS,2022,941175.0396270044
BHS,2023,745022.6646935648
BHS,2024,709196.8909914871
BHS,2025,657649.399878972
BHS,2026,433651.76259063324
BLM,2024,18.4843416461929
BLM,2025,52.79125092181161
BLM,2026,3.5200905055565785
BLZ,2018,26864.858420725493
BLZ,2019,20677.37497111658
BLZ,2020,64986.73198791315
BLZ,2021,26179.800779713256
BLZ,2022,13850.021552860662
BLZ,2023,18784.093670310383
BLZ,2024,22467.592814812397
BLZ,2025,25363.039903285266
BLZ,2026,10278.256066413922
BMU,2018,17957.942998530303
BMU,2019,9682.233422337544
BMU,2020,4342.947194229496
BMU,2021,9840.146891509288
BMU,2022,8496.635651731394
BMU,2023,10265.07374034269
BMU,2024,11827.042438843602
BMU,2025,11163.527113555007
BMU,2026,6698.333517124245
BRA,2018,19101527.58175052
BRA,2019,18201396.151413843
BRA,2020,19847382.838859778
BRA,2021,20697228.758397143
BRA,2022,19420384.90061021
BRA,2023,19222585.328453213
BRA,2024,18046338.918047477
BRA,2025,19698622.854056694
BRA,2026,9588787.878157103
BRB,2018,43131.49306883555
BRB,2019,44967.34247613302
BRB,2020,49517.23098817871
BRB,2021,46050.66168084776
BRB,2022,50851.91023167686
BRB,2023,53353.91010627165
BRB,2024,54531.08049838234
BRB,2025,58748.55645273224
BRB,2026,38787.72453828626
BRN,2018,426406.8583715661
BRN,2019,418938.5728668233
BRN,2020,450835.61710228276
BRN,2021,444823.8869575538
BRN,2022,407928.56600048085
BRN,2023,394465.6224283342
BRN,2024,389020.8417091209
BRN,2025,402768.56938130694
BRN,2026,204253.47336770597
CAN,2018,6285799.234331071
CAN,2019,6023187.3979627695
CAN,2020,5956522.859975264
CAN,2021,6065224.859041032
CAN,2022,5638704.630694706
CAN,2023,5309800.606398517
CAN,2024,4961502.245404154
CAN,2025,5477889.064510839
CAN,2026,2743789.3138912623
CCK,2023,1420.7106008868234
CCK,2024,1546.5371524991099
CCK,2025,1395.492624308171
CCK,2026,1408.1214889422936
CHL,2018,3349654.776026529
CHL,2019,3084084.910280035
CHL,2020,2906135.1696372703
CHL,2021,3516383.8097829167
CHL,2022,3381938.680094835
CHL,2023,2680096.0657815104
CHL,2024,2443303.346518502
CHL,2025,2637300.416687525
CHL,2026,1242813.68877606
CHN,2018,58251651.28685582
CHN,2019,57277427.55552395
CHN,2020,59321043.51163563
CHN,2021,57816344.857751995
CHN,2022,54187034.97204631
CHN,2023,53698553.449745245
CHN,2024,50717858.37582966
CHN,2025,51846880.10094669
CHN,2026,26676507.46238231
CIV,2018,566362.8424921917
CIV,2019,589468.0128678138
CIV,2020,620462.5021023743
CIV,2021,679613.8449436168
CIV,2022,695169.0127038885
CIV,2023,788136.1433058536
CIV,2024,785429.3534213365
CIV,2025,977208.0879083185
CIV,2026,488258.59454919765
CMR,2018,498260.4094702203
CMR,2019,552389.876415667
CMR,2020,551582.9382588872
CMR,2021,547802.8697084726
CMR,2022,488151.9051254488
CMR,2023,487483.9661973663
CMR,2024,474966.55966436194
CMR,2025,534871.8553052013
CMR,2026,334731.8896877661
COD,2018,371308.9838429807
COD,2019,352189.0645377464
COD,2020,284877.19202274445
COD,2021,204482.2318811567
COD,2022,178035.39241667595
COD,2023,231393.59061329882
COD,2024,258606.01832424372
COD,2025,223138.6721665383
COD,2026,113344.1420431033
COG,2018,597889.9501764611
COG,2019,595898.7826461273
COG,2020,539474.1897799429
COG,2021,502297.54956498643
COG,2022,506470.1895509885
COG,2023,496605.30482698896
COG,2024,625314.8887014382
COG,2025,796275.6289936143
COG,2026,465616.25963520614
COK,2018,2433.4820892117477
COK,2019,1892.8969176128696
COK,2020,4210.746241808928
COK,2021,2151.947884645548
COK,2022,2313.936454613697
COK,2023,2499.7227421138778
COK,2024,2408.342616158143
COK,2025,4451.260077684819
COK,2026,3133.035282546012
COL,2018,3649202.6823068205
COL,2019,3695974.405128172
COL,2020,3431180.9585555005
COL,2021,3691248.795782848
COL,2022,3423226.6093389913
COL,2023,3444517.1632557325
COL,2024,3171656.4844552856
COL,2025,3321521.3793539978
COL,2026,1578598.424237914
COM,2018,38500.14712357554
COM,2019,35696.4559093788
COM,2020,38941.464417083764
COM,2021,49210.77963256645
COM,2022,23051.5383986908
COM,2023,15887.855168608245
COM,2024,120064.83916415219
COM,2025,63285.24156308674
COM,2026,48754.904319456575
CPV,2018,162794.00371236203
CPV,2019,172268.26282401
CPV,2020,80086.34699662765
CPV,2021,90795.39366789394
CPV,2022,79761.06480119997
CPV,2023,91682.0459858118
CPV,2024,128901.70324027921
CPV,2025,124185.21093139357
CPV,2026,70362.396930372
CRI,2018,565424.549862543
CRI,2019,641719.6727936555
CRI,2020,655887.8704798566
CRI,2021,682034.4531626332
CRI,2022,594557.9735341339
CRI,2023,637137.7893128379
CRI,2024,549196.4466518171
CRI,2025,536056.0633305517
CRI,2026,246177.81827684309
CUB,2018,223956.59072102988
CUB,2019,200915.1952874917
CUB,2020,186176.208181196
CUB,2021,169786.91010804437
CUB,2022,122033.95701789086
CUB,2023,138828.45026161842
CUB,2024,122023.26448293321
CUB,2025,105963.280232163
CUB,2026,39058.11245713701
CUW,2018,97236.55045145488
CUW,2019,94318.49670212466
CUW,2020,97208.60610964433
CUW,2021,63856.41043590937
CUW,2022,60218.657251461256
CUW,2023,51965.07871945815
CUW,2024,58323.78303697414
CUW,2025,57576.96386672781
CUW,2026,39810.02921920555
CXR,2018,6251.769331777976
CXR,2019,4659.63189199227
CXR,2020,4459.007103988225
CXR,2021,5540.322831613058
CXR,2022,4586.139562823985
CXR,2023,8181.701266162584
CXR,2024,6789.065680554188
CXR,2025,6949.818705687493
CXR,2026,3247.5360871842827
CYM,2018,6760.918119506563
CYM,2019,6594.342361681272
CYM,2020,5248.863313561248
CYM,2021,4796.184095495115
CYM,2022,6942.545746946238
CYM,2023,12195.764616217406
CYM,2024,5043.236787277687
CYM,2025,6236.052276691663
CYM,2026,3066.8166500915668
CYP,2018,290666.55844456685
CYP,2019,258682.57574800402
CYP,2020,254553.73942174244
CYP,2021,220628.66169146597
CYP,2022,142948.8143826887
CYP,2023,148104.18019987948
CYP,2024,137805.44425507358
CYP,2025,166312.2185060503
CYP,2026,94826.9150216706
DEU,2018,2892412.8148381263
DEU,2019,2745890.5212366786
DEU,2020,2806093.2996696183
DEU,2021,3077895.897854487
DEU,2022,3089131.947178869
DEU,2023,3117593.2300621383
DEU,2024,2578890.7661732812
DEU,2025,2450898.5914737876
DEU,2026,1209605.908322984
DJI,2018,486540.451487051
DJI,2019,481144.24327965785
DJI,2020,561670.4405517854
DJI,2021,508132.16020914505
DJI,2022,506812.0780023607
DJI,2023,467094.9981397849
DJI,2024,369122.9338914332
DJI,2025,346093.0253164423
DJI,2026,178800.2891178322
DMA,2018,5942.92108744399
DMA,2019,3199.936214899265
DMA,2020,3661.838424248558
DMA,2021,5578.901119166712
DMA,2022,7077.593588191666
DMA,2023,8113.882529432112
DMA,2024,6368.366816565616
DMA,2025,4811.222883791043
DMA,2026,2900.7469800480576
DNK,2018,989240.9066296809
DNK,2019,1237989.2419416462
DNK,2020,1302571.7845764698
DNK,2021,1241551.4811742331
DNK,2022,1311528.5269689248
DNK,2023,1139548.3940776424
DNK,2024,936168.8553544501
DNK,2025,1053677.3191420408
DNK,2026,467898.05550864706
DOM,2018,1196257.3732410227
DOM,2019,1240536.801863227
DOM,2020,1154842.5655462989
DOM,2021,1232131.795588311
DOM,2022,1192426.515140398
DOM,2023,1075915.0586788564
DOM,2024,940189.5050768504
DOM,2025,961278.7362869866
DOM,2026,550542.7350586752
DZA,2018,828068.7087987666
DZA,2019,864777.398331163
DZA,2020,862078.2459070785
DZA,2021,922890.6489635285
DZA,2022,867566.5947971139
DZA,2023,885962.2782386116
DZA,2024,804555.4765139137
DZA,2025,814110.2641991742
DZA,2026,453243.3486816355
ECU,2018,1210812.3470631212
ECU,2019,1244049.8843755596
ECU,2020,992374.882535547
ECU,2021,1088515.4450759713
ECU,2022,1171990.6094039516
ECU,2023,1094379.33914905
ECU,2024,877571.6801081102
ECU,2025,960783.6105566965
ECU,2026,519811.59984361357
EGY,2018,13085982.721789233
EGY,2019,13303085.612489946
EGY,2020,12270471.898372032
EGY,2021,12661250.626952022
EGY,2022,10944726.804793779
EGY,2023,11024259.451232068
EGY,2024,4123801.843323064
EGY,2025,4049539.0539264423
EGY,2026,2246129.4543419546
ERI,2018,14981.142048471842
ERI,2019,16215.84539081572
ERI,2020,17311.242776288822
ERI,2021,17299.14373077206
ERI,2022,10219.02545694289
ERI,2023,13687.915768879164
ERI,2024,12852.305760211575
ERI,2025,15502.374216337443
ERI,2026,6333.625251696861
ESH,2018,21712.846944413635
ESH,2019,13028.191884074817
ESH,2020,16675.866101763302
ESH,2021,24464.95775245456
ESH,2022,27904.566749125308
ESH,2023,21091.051692145968
ESH,2024,20071.784756791807
ESH,2025,17472.11394019403
ESH,2026,9292.79333683914
ESP,2018,11854187.96744781
ESP,2019,11717583.242774922
ESP,2020,10767118.030355183
ESP,2021,11170799.895770581
ESP,2022,11301944.83799233
ESP,2023,10700708.176194467
ESP,2024,10145749.003301471
ESP,2025,9529498.903367003
ESP,2026,4824524.298969447
EST,2018,293752.9988935408
EST,2019,284007.0006626293
EST,2020,286447.30280418077
EST,2021,263985.63540326356
EST,2022,299840.70107082406
EST,2023,189290.86884327096
EST,2024,144442.20456649625
EST,2025,111064.65585013044
EST,2026,31846.539343857952
FIN,2018,572563.186562583
FIN,2019,532175.8024676756
FIN,2020,538383.4290315125
FIN,2021,533709.1060152458
FIN,2022,495009.4918286923
FIN,2023,435190.3276344186
FIN,2024,356202.0968366856
FIN,2025,365907.33967264584
FIN,2026,212629.88910018923
FJI,2018,160819.96192524946
FJI,2019,137819.79360988762
FJI,2020,138119.40986979025
FJI,2021,131757.99241218992
FJI,2022,156255.76631171408
FJI,2023,138278.67638368468
FJI,2024,130768.52791835114
FJI,2025,137586.1150020352
FJI,2026,69095.99846177286
FLK,2018,4781.375772508549
FLK,2019,7587.991410657702
FLK,2020,3288.5746829075592
FLK,2021,6621.162459122268
FLK,2022,6695.382642129572
FLK,2023,3875.2349633174754
FLK,2024,10580.797868408976
FLK,2025,11328.623917268309
FLK,2026,10846.11858072362
FRA,2018,3534857.272762605
FRA,2019,3574178.502225282
FRA,2020,3140038.601962419
FRA,2021,3447157.066711049
FRA,2022,3744512.447707932
FRA,2023,3218810.4354757452
FRA,2024,3017579.403765659
FRA,2025,3003546.3417418
FRA,2026,1389714.9984739018
FRO,2018,47647.68693553877
FRO,2019,45875.37042563548
FRO,2020,60434.6142786176
FRO,2021,104272.93749279107
FRO,2022,96034.19087191124
FRO,2023,86853.11778436221
FRO,2024,59742.75788165792
FRO,2025,75195.0146300812
FRO,2026,42651.70952166335
FSM,2018,29038.72116457528
FSM,2019,26956.049792393183
FSM,2020,28297.65640916943
FSM,2021,32868.21658304649
FSM,2022,37401.16500594911
FSM,2023,34391.48567676655
FSM,2024,41123.833964901816
FSM,2025,39241.86268014575
FSM,2026,18472.0594920288
GAB,2018,346013.0040614942
GAB,2019,388454.8520403762
GAB,2020,377009.08142429957
GAB,2021,332065.1376151301
GAB,2022,310387.8870683443
GAB,2023,270086.41312619107
GAB,2024,234741.3499300514
GAB,2025,279243.31160148553
GAB,2026,136524.02659731254
GBR,2018,4981597.933969159
GBR,2019,5232528.9685397
GBR,2020,4552585.746905896
GBR,2021,4416317.692397489
GBR,2022,4447445.897233864
GBR,2023,4009065.9948826623
GBR,2024,3563418.389852345
GBR,2025,3906560.9376257537
GBR,2026,1913338.9572224228
GEO,2018,58485.118056346684
GEO,2019,83575.00805778327
GEO,2020,88981.43581658145
GEO,2021,79130.13086640352
GEO,2022,84331.4707260613
GEO,2023,84814.8648045374
GEO,2024,76515.76440975757
GEO,2025,85075.62536852928
GEO,2026,45332.45733448593
GHA,2018,612803.7967776555
GHA,2019,614114.5519220695
GHA,2020,867413.5123577627
GHA,2021,1000801.9058920133
GHA,2022,865143.5444552934
GHA,2023,804014.5920432354
GHA,2024,1009356.0531058144
GHA,2025,1076558.9081600937
GHA,2026,595935.5753410903
GIB,2018,2535200.578881234
GIB,2019,2543533.2215672946
GIB,2020,2434523.69626373
GIB,2021,2607346.830588345
GIB,2022,2746232.168023708
GIB,2023,2609189.851296642
GIB,2024,1609720.346753165
GIB,2025,1505446.9310315533
GIB,2026,742447.4990253317
GIN,2018,1088312.6497985176
GIN,2019,1228545.8488007388
GIN,2020,1166944.2271016259
GIN,2021,1155164.3145971166
GIN,2022,1201164.749583704
GIN,2023,1238644.7466588987
GIN,2024,1217415.0911856852
GIN,2025,1461089.8729403974
GIN,2026,785247.8798140207
GLP,2018,297814.4018419329
GLP,2019,185687.4228558935
GLP,2020,116793.53672376527
GLP,2021,124508.77589694408
GLP,2022,110411.95025099778
GLP,2023,97872.54271306396
GLP,2024,93233.63291268027
GLP,2025,88146.68209000643
GLP,2026,37659.85399922334
GMB,2018,33778.763093385176
GMB,2019,39483.10083522801
GMB,2020,40506.48858104209
GMB,2021,41708.54092708925
GMB,2022,42397.515692212524
GMB,2023,42170.090944905016
GMB,2024,40554.098917222356
GMB,2025,39907.81515542819
GMB,2026,18299.136383262936
GNB,2018,11164.7198247669
GNB,2019,11716.790486793252
GNB,2020,8985.880643545932
GNB,2021,16497.89858799582
GNB,2022,12510.876186399402
GNB,2023,12188.776489506963
GNB,2024,13188.671018096778
GNB,2025,11760.121301944882
GNB,2026,6385.797882474537
GNQ,2018,729892.2544084176
GNQ,2019,558332.9826004355
GNQ,2020,491260.22132603097
GNQ,2021,476585.39398711483
GNQ,2022,381225.74814678374
GNQ,2023,319898.3542413836
GNQ,2024,260285.6158034941
GNQ,2025,189476.04078138876
GNQ,2026,76946.2763482036
GRC,2018,2286931.6898998506
GRC,2019,2390605.611213053
GRC,2020,2388829.097360385
GRC,2021,2499493.7502254816
GRC,2022,2456171.8626770596
GRC,2023,2131722.464190638
GRC,2024,1286625.705435644
GRC,2025,1221994.5949409755
GRC,2026,629209.6563172756
GRD,2018,5286.3208666864875
GRD,2019,8159.582467421696
GRD,2020,9914.892869941941
GRD,2021,11462.62679866886
GRD,2022,10867.906304414877
GRD,2023,12136.904177063945
GRD,2024,11958.498707808005
GRD,2025,11099.505243983094
GRD,2026,4737.295699446685
GRL,2018,30587.282952975744
GRL,2019,33400.50644760892
GRL,2020,54248.18057039889
GRL,2021,68181.64943750235
GRL,2022,67265.77184459263
GRL,2023,70243.63213380137
GRL,2024,56299.2712198896
GRL,2025,69345.1941497279
GRL,2026,36261.30855818464
GTM,2018,679485.1597438843
GTM,2019,667947.37323288
GTM,2020,730223.5419382886
GTM,2021,778565.2162156001
GTM,2022,785486.6223350113
GTM,2023,705765.7765822217
GTM,2024,584721.8041034288
GTM,2025,667286.0792687292
GTM,2026,363523.67713598686
GUF,2018,19160.070356284275
GUF,2019,14223.155722779959
GUF,2020,15136.405368913816
GUF,2021,17739.120263754594
GUF,2022,22340.21569531455
GUF,2023,15743.115293575898
GUF,2024,17105.99802785902
GUF,2025,17536.830509248713
GUF,2026,6894.075764312287
GUM,2018,162024.6490961145
GUM,2019,149514.61143903743
GUM,2020,127077.39146762581
GUM,2021,119456.47532785404
GUM,2022,138653.21795607908
GUM,2023,123911.27294360778
GUM,2024,93315.96582687707
GUM,2025,89670.78196469595
GUM,2026,46175.23378114085
GUY,2018,72544.64377293788
GUY,2019,68056.4304275639
GUY,2020,59195.9828487677
GUY,2021,56478.16785761564
GUY,2022,55099.41795306172
GUY,2023,76408.10516074847
GUY,2024,89337.2629480412
GUY,2025,92374.797440249
GUY,2026,56408.536378205004
HKG,2018,9701.559720620411
HKG,2019,24164.607952385104
HKG,2020,37318.92221797929
HKG,2021,20196.077199808213
HKG,2022,1692.1790987287852
HKG,2023,4346.290095302223
HKG,2024,5290.200449358114
HKG,2026,2083.2501853615227
HND,2018,193365.7454794498
HND,2019,177186.75706845676
HND,2020,182621.55142089905
HND,2021,237824.446748138
HND,2022,295304.6247398191
HND,2023,310862.31517089834
HND,2024,312543.8013858875
HND,2025,308118.92154653376
HND,2026,150231.80595244232
HRV,2018,148207.63531564578
HRV,2019,113447.4918087667
HRV,2020,122703.17148236201
HRV,2021,208931.56346496547
HRV,2022,225775.6175482145
HRV,2023,246781.56978986322
HRV,2024,169001.4030035626
HRV,2025,164294.90840489237
HRV,2026,86845.43087110223
HTI,2018,110502.45361773467
HTI,2019,115492.16420868842
HTI,2020,119273.67222113816
HTI,2021,99601.89660483466
HTI,2022,73042.23244859772
HTI,2023,50124.74967185605
HTI,2024,31575.22455470374
HTI,2025,55036.656155279474
HTI,2026,35219.84473688447
IDN,2018,7993998.185492004
IDN,2019,7936162.129713578
IDN,2020,7698207.090845344
IDN,2021,8302918.851277932
IDN,2022,8354108.363823426
IDN,2023,8438649.662620634
IDN,2024,8068613.280596549
IDN,2025,8075521.940312615
IDN,2026,4207040.325851284
IMN,2018,26.711820650834298
IND,2018,11803731.133762052
IND,2019,11696872.565019483
IND,2020,11808192.16870026
IND,2021,12848454.068982573
IND,2022,12117576.610737195
IND,2023,12512254.231437111
IND,2024,11747158.393784354
IND,2025,12454838.759711
IND,2026,6965406.075646411
IRL,2018,358179.30129537755
IRL,2019,308722.64219099726
IRL,2020,380103.14106886316
IRL,2021,389843.3717218045
IRL,2022,360073.460490575
IRL,2023,350845.9785042571
IRL,2024,306189.0959063758
IRL,2025,314557.00127205835
IRL,2026,156362.6307401779
IRN,2018,1057728.346500433
IRN,2019,523647.7062988641
IRN,2020,334964.45157968346
IRN,2021,431959.00282941817
IRN,2022,418730.2442995238
IRN,2023,447412.6234521436
IRN,2024,472947.06309437257
IRN,2025,549135.6286029125
IRN,2026,229226.37009604948
IRQ,2018,1321815.0869768418
IRQ,2019,1433223.8029295383
IRQ,2020,1302081.6210016538
IRQ,2021,1188207.1152485213
IRQ,2022,1314953.2782446148
IRQ,2023,1400788.9466545652
IRQ,2024,1305114.449601426
IRQ,2025,1351516.5739092752
IRQ,2026,256861.35025667064
ISL,2018,123687.5844545053
ISL,2019,95629.77513955186
ISL,2020,148152.99245935353
ISL,2021,206311.95979207073
ISL,2022,222644.59857400705
ISL,2023,211765.99137914824
ISL,2024,168822.17700592073
ISL,2025,180989.65268309042
ISL,2026,88020.30095156278
ISR,2018,900534.1302126038
ISR,2019,773990.9200198024
ISR,2020,756721.7322932854
ISR,2021,770857.2601004948
ISR,2022,812387.4949156273
ISR,2023,810292.5017921953
ISR,2024,518963.1661493184
ISR,2025,415510.2392559118
ISR,2026,230135.81521015306
ITA,2018,4146746.4843521114
ITA,2019,4170808.4655112964
ITA,2020,3959930.995816183
ITA,2021,3937679.9596989234
ITA,2022,4162683.3529863395
ITA,2023,3842451.579682844
ITA,2024,3009866.266649619
ITA,2025,2927778.6791114863
ITA,2026,1574048.4663770036
JAM,2018,978159.5940598127
JAM,2019,853968.9869247947
JAM,2020,842674.731827394
JAM,2021,958817.3393124179
JAM,2022,890558.2981281546
JAM,2023,739932.0290611702
JAM,2024,760089.2088096192
JAM,2025,685789.3596678993
JAM,2026,366441.881810188
JOR,2018,415568.82858155976
JOR,2019,356959.01993489766
JOR,2020,304570.2312971113
JOR,2021,290712.39015017793
JOR,2022,347511.2541502234
JOR,2023,298232.55280714727
JOR,2024,179881.7072764222
JOR,2025,189961.40008193557
JOR,2026,102344.34561703747
JPN,2018,23426232.413901933
JPN,2019,22127299.18028272
JPN,2020,20826196.4360375
JPN,2021,20688324.48237954
JPN,2022,18716242.887592714
JPN,2023,17664337.23440162
JPN,2024,14905043.983278055
JPN,2025,14692709.408639688
JPN,2026,7181122.494670586
KAZ,2018,620.1357280270744
KAZ,2019,737.0020515939564
KAZ,2020,1304.376730143267
KAZ,2021,252.48855271826054
KAZ,2022,315.0571872448802
KAZ,2023,2523.2918769905946
KAZ,2024,3478.4130117161603
KAZ,2025,2960.045660610649
KAZ,2026,1487.2895299800366
KEN,2018,516132.2054804657
KEN,2019,532869.0367877979
KEN,2020,498792.05887274386
KEN,2021,644429.7947641567
KEN,2022,569007.2776536293
KEN,2023,624339.5881234289
KEN,2024,544427.3467848352
KEN,2025,607177.9183527506
KEN,2026,349458.7637229736
KHM,2018,36112.25340185238
KHM,2019,101096.51817377016
KHM,2020,82456.36459795202
KHM,2021,108296.20630404667
KHM,2022,117694.88849129423
KHM,2023,129233.45389974682
KHM,2024,140353.6379326489
KHM,2025,174547.69413044845
KHM,2026,122604.89122019614
KIR,2018,22815.64622948341
KIR,2019,34315.13260736161
KIR,2020,22885.26376980727
KIR,2021,20221.87914608696
KIR,2022,20334.335904654527
KIR,2023,34056.19876972262
KIR,2024,18693.22894299434
KIR,2025,18273.6678093576
KIR,2026,14680.974640941336
KNA,2018,17000.091983491453
KNA,2019,6447.977839841403
KNA,2020,3431.567408528012
KNA,2021,6646.816452204473
KNA,2022,6724.002501786327
KNA,2023,6302.228845095221
KNA,2024,8264.167480653761
KNA,2025,8081.530752412592
KNA,2026,4919.555447916429
KOR,2018,17315372.39736242
KOR,2019,16932745.512853723
KOR,2020,17141453.079629894
KOR,2021,18816094.181851808
KOR,2022,17977441.332983293
KOR,2023,16599977.97073452
KOR,2024,15010115.904743472
KOR,2025,15521545.15673613
KOR,2026,7705705.5397721445
KWT,2018,1402784.349478612
KWT,2019,1305068.1215582183
KWT,2020,1317037.8735840844
KWT,2021,1269306.7366098587
KWT,2022,1375462.142111711
KWT,2023,1361851.0084503004
KWT,2024,1175510.1099896901
KWT,2025,1246406.1555881049
KWT,2026,200723.5082391301
LBN,2018,374964.1782760377
LBN,2019,322199.47369592893
LBN,2020,201726.02340589958
LBN,2021,129047.95896560984
LBN,2022,157893.71243046699
LBN,2023,148929.8446074815
LBN,2024,134834.2789424826
LBN,2025,117616.93464009844
LBN,2026,51529.50686442316
LBR,2018,91264.37128076838
LBR,2019,90137.34530553439
